_id,name,comment,time
1,Jennifer_timo,天呐，这什么缘分，喜欢我的男生在抖音给我分享了mochi唱的版本说比原唱好听，一直在等完整版，居然在我们确定关系的这天出了,2023年5月21日 22:59
2,芝麻Mochiii,紧赶慢赶终于发出来了，感谢碰碰又好又快的混音，感谢我女神小葱（congming33）授权的可爱小狗封面🥺❤️翻译在传了！,2023年5月21日 17:22
3,Loiseau_,超级清爽的声音！就像是夏天傍晚的一瓶海盐汽水！suki！！,2023年5月21日 19:31
4,与檐下风铃,有一种aimer唱恋爱循环的感觉,2023年5月21日 15:08
5,选择玩笑,有种清澈的少年感！比原版舒服，很抓耳朵又不刺耳,2023年5月22日 09:38
6,西米柚子露ovo,"好耶！终于等到你！！
真的好喜欢芝麻的声音！芝麻marry me！！",2023年6月22日 10:15
7,想无语唉,有股慵懒的感觉，好棒,2023年06月25日 20:28
8,明明明明明昕,从 b 站来！,2023年06月25日 20:26
9,音儿三原,从b站赶来啦！！特别贴特别可爱😭🤲🏻❤️,2023年06月25日 19:20
10,妮妮_QT4Z,cpdd,2023年06月25日 17:36
11,浮生参半,哈哈哈这个封面好像余华的那个潦草小狗,2023年06月25日 17:34
12,coltish-,终于可以听啦！超级喜欢，遇到的最喜欢的少年音,2023年06月25日 16:48
13,EsKd,听到就好开心好开心,2023年06月25日 16:35
14,手排琴结果Screamo,,2023年06月25日 15:30
15,J的幻想世界,好好听！b站投币了！！！,2023年06月25日 12:24
16,蓝桉是个困包,啊啊啊啊啊啊啊太好听了吧 听完之后 脑子里全是“baby you baby you”单曲循环啊啊啊！！！,2023年06月25日 10:34
17,Halo_Han,火速赶来！！,2023年06月25日 09:28
18,Jw_Sophia_Sakurai,夏天气泡水一样清爽！,2023年06月25日 06:30
19,瑞拉的仙女教母,歌词有中文咩,2023年06月25日 01:20
20,十六活不起,终于又回来啦,2023年06月25日 00:20
21,时久a,哈哈哈哈，声线跟aimer太像了,2023年06月24日 23:55
22,噬梦儇,泰酷辣! 偶然看到的，祝你幸福捏~(￣▽￣)~*,2023年06月24日 22:55
23,Khiiiii,赶来支持芝麻啦ovo！！🥺🥺🥺,2023年06月24日 22:34
24,南目2301,终于发啦！太好听了,2023年06月24日 22:25
25,訷里凌华,哦！！！！！！又回来了❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2023年06月24日 21:52
26,棠花落谁家,像被大雨冲刷后的大街上，吃一颗柠檬味的糖，再来一口雪碧，奇妙的感觉在口腔里爆开，抬头看见阳光小狗向自己跑来，顿时世界明亮,2023年06月24日 20:53
27,来一杯巧克力拿铁,听到就会摇晃脑袋的歌！,2023年06月24日 20:40
28,拥抱落日海_,啊啊啊啊，好好听(✪▽✪)！！不接受反驳！🥰🥰好喜欢这种带点慵懒的少年音！,2023年06月24日 20:17
29,1583601,有一种身处在最幸福的一瞬间，好幸福,2023年06月24日 19:19
30,Nine--sun,好听！！！,2023年06月24日 19:16
31,无名奆,,2023年06月24日 18:58
32,he-ho,啊啊啊啊喜欢！！,2023年06月24日 17:24
33,瘦肉馅丸子,好喜欢~,2023年06月24日 17:17
34,Irisviolet,可爱芝麻捏！！🥰🥰,2023年06月24日 16:34
35,楠栀婉兮,好甜的感觉，好适合分享给喜欢的人,2023年06月24日 15:53
36,主角基友一生推,好听！,2023年06月24日 15:33
37,nvoicedesiner,太好听了呀！！！！！！[多多大哭],2023年06月24日 14:26
38,fulloflovetoday,謝謝mochi🥹這幾天心情好糟糕 聽到這首心裡好開心🥹🥹🥹,2023年06月24日 14:15
39,奇奇怪怪_W2KA,su ki ni na tcha u yo,2023年06月24日 14:00
40,是兔兔小姐啦,关注快六年啦！suki[多多可怜],2023年06月24日 13:22
41,扳玉米,抖音来的呀,2023年06月24日 12:33
42,你是银河哪颗星--,好甜！喜欢！,2023年06月24日 12:10
43,xanthekwok,好听好听！,2023年06月24日 11:45
44,伊诺-埃德加,有翻译就更好啦,2023年06月24日 11:41
45,伊诺-埃德加,太好听了,2023年06月24日 11:41
46,JMY顾时玖001A,小狗真挚而热烈的爱在夏日的海边“嘭～”的一下四溅而来,2023年06月24日 11:35
47,聪明人谁画画,比起原创我更喜欢芝麻的，感谢我真的很需要少年音,2023年06月24日 11:26
48,ikun12132,好き好き好き好き好き好き好き好き,2023年06月24日 09:14
49,读着倒才障智反没称名的我,suki！,2023年06月24日 08:42
50,鲸锦Peru,耶耶从B站赶过来了 喜欢歌声+旋律🎶get！(≧∇≦),2023年06月24日 06:05
51,予笙QAQ,从B站追来了,2023年06月24日 05:05
52,dudumymy,啊啊啊啊啊啊啊啊啊啊芝麻超甜！！！！！（超大声）,2023年06月24日 01:27
53,睁眼瞎z,太好听爱了啊啊啊啊真的出了,2023年06月24日 00:40
54,白訸,上次还没听几天就没了这回我直接下载,2023年6月23日 23:54
55,sereineeyy,终于给我等到了,2023年6月23日 22:11
56,也許丶在,这个世界苦不堪言，你是唯一的甜🍰,2023年6月23日 21:33
57,铅笔小建吖,本来在考试周心情低落到了极点，一听到这首歌的时候感觉周围突然明朗了，芝麻的歌声真的会有神奇的魔力,2023年6月23日 21:26
58,神奇田狗蛋,太好听了，抖音刷到赶紧来收藏了[多多耍酷],2023年6月23日 21:18
59,Black_黑猫,啊完整版，满足啊,2023年6月23日 20:25
60,Co可co可灵,回来了！,2023年6月23日 19:14
61,原本木木,我我我,2023年6月23日 19:12
62,伍尔察,,2023年6月23日 18:35
63,我说我-,汪汪汪！太好听啦！,2023年6月23日 17:05
64,Watch-Dogyang,爱你呦～,2023年6月23日 16:44
65,Watch-Dogyang,我来听歌的怎么无缘无故给人踹了一脚,2023年6月23日 16:44
66,ganrian,好听！！！,2023年6月23日 16:16
