_id,name,comment,time
1,旧念何捥,小破站过来支持UP，改过之后真的太好听了而且歌词比原来的有内涵多了（开始上价值了）[多多大笑],2023年6月12日 13:10
2,山岛-0708,小红书来的 up太强了！,2023年6月11日 19:04
3,于繁华落幕时,好听啊！！！刚高考完听到这词真的感觉很心酸，高中三年太不容易了，一眨眼三年就过去了，希望可以考上理想的大学，虽然我一直临时抱佛脚，但我希望这次可以有好的成果。希望大家都能考上理想的大学。,2023年6月10日 21:07
4,艾伦_耶格尔_oiPN,太有文化了出不了道,2023年6月11日 09:21
5,傲含x,这才是说唱该有的样子,2023年6月11日 09:42
6,落叶随枫1707,"弟子归
朝起不知未来事，
夕落难识己归期。
悬梁刺股不眠夜，
人生能读几回书? 本人承诺本诗有本人原创。",2023年6月10日 15:22
7,睡眠艺术家_Exxr,音乐从来不属于娱乐圈，而是艺术圈，没有营养的音乐不能被称作艺术。,2023年6月10日 10:38
8,瀮諷,刚从b站听完，真的超级好听,2023年6月10日 19:26
9,峰思佳XY,我是社会上的边角料 妈妈眼中的小骄傲,2023年6月21日 10:43
10,花京院点名粥,不是吧！你玩真的！[嗨起来][嗨起来],2023年6月11日 01:16
11,圆圆_PZNK,b站来的，up🐷做的挺好的，就是文化太高了，跟原来的临时抱佛脚不是一个档次,2023年06月25日 20:18
12,还没死就继续拼,没考好[多多大哭],2023年06月25日 20:07
13,妮妮_QT4Z,[多多比耶][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶]cpdd,2023年06月25日 17:25
14,牧羊人_Vz,B站前来报道！[多多大笑],2023年06月25日 17:16
15,Luzzzya,这才是hipa,2023年06月25日 16:17
16,手排琴结果Screamo,[多多笑哭][多多笑哭][多多笑哭][多多笑哭][多多笑哭][多多笑哭][多多笑哭][多多笑哭][多多捂脸][多多捂脸][多多捂脸][多多捂脸][多多捂脸][多多捂脸],2023年06月25日 15:47
17,手排琴结果Screamo,[多多大笑][多多大笑][多多大笑][多多大笑][多多大笑][多多大笑][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶][多多比耶],2023年06月25日 14:48
18,忽然心慌慌,期待这歌爆火的那一天,2023年06月25日 12:51
19,jkjsch,dy过来支持,2023年06月25日 12:51
20,秀秀姐姐的坚坚,不是原创吗，什么改？,2023年06月25日 12:10
21,选择做旁观者,吃了没文化的亏,2023年06月25日 11:06
22,Night睡了没,抖音来的，真的好棒啊！！！,2023年06月25日 10:51
23,携子之手与子偕行,这歌太有文化太励志了，火不了。主编还是吃了有文化的亏。,2023年06月25日 10:25
24,CAirJY,好听,2023年06月25日 09:53
25,一只哼哼乖,b站来的,2023年06月25日 09:47
26,今日无事勾栏听曲_OSnQ,都来，哈哈哈,2023年06月25日 06:34
27,不说永远_lipid,太喜欢了！歌词很用心，刚刚高考出分了，被触动到了，仿佛听到了另一个自己。美中不足就是有点短不够过瘾哈哈哈哈！,2023年06月25日 03:52
28,独行成众,这才是真正的说唱！！！,2023年06月25日 01:40
29,懵懂这人生,真好,2023年06月25日 00:54
30,魔洛影,太好了,2023年06月25日 00:53
31,nascita咖啡店店长-石動惣一,什么叫专业，这就叫专业（战术后仰）,2023年06月24日 23:17
32,回忆_41,好听,2023年06月24日 23:01
33,一纸红鸢--,这么好听你不要命了啊,2023年06月24日 22:34
34,路sir_sjkP,智齿,2023年06月24日 22:03
35,不雨亦潇潇L,期末开始临终抱佛脚[多多难过],2023年06月24日 21:24
36,亶翛,这首直接变首发（doge）,2023年06月24日 21:16
37,亶翛,哥几个来了啊，我是阿西吧,2023年06月24日 21:15
38,皓oh,吹爆,2023年06月24日 17:59
39,Nico--xie,词真的很棒,2023年06月24日 16:48
40,Nico--xie,来支持,2023年06月24日 16:48
41,秦YWL,能再长点就好了[多多大哭],2023年06月24日 16:40
42,她是我的一个不愿醒来的梦,插个眼，火了踹我一脚,2023年06月24日 16:21
43,陈艺丶郁金香路,插颗眼,2023年06月24日 15:23
44,paipelo,火了记得叫我,2023年06月24日 14:59
45,云村村民168758767579036,完美。[多多大笑][多多大笑][多多大笑][多多大笑][多多大笑],2023年06月24日 14:22
46,死心吧-丶,真的厉害,2023年06月24日 13:29
47,渐黄昏-,牛逼！,2023年06月24日 12:57
48,xiao一丶OnePice,好听！,2023年06月24日 12:39
49,虎牙壹哥,太短了，再重复一遍更好,2023年06月24日 12:38
50,遗憾遍步人间,抖音打卡,2023年06月24日 12:22
51,1626FORGET,抖音来的,2023年06月24日 12:20
52,1626FORGET,这个不比临时抱佛脚有营养？,2023年06月24日 12:20
53,AZHIZUO3,来了来了！,2023年06月24日 12:19
54,小俊betterme,这一改，太励志了！[多多大笑],2023年06月24日 12:17
55,Stye丶,太喜欢了，老哥,2023年06月24日 12:16
56,白极L,谢谢，如果明天注销了的话，那就好好说再见吧,2023年06月24日 12:13
57,你让开TOP,流批！流批！！！,2023年06月24日 12:09
58,旧城-_-,有没有从dy过来的→,2023年06月24日 12:09
59,XD-方圆几里,很好听，但是感觉和我的天空有点像,2023年06月24日 12:01
60,来瓶百事吧,跟我一样从抖音过来的有吗,2023年06月24日 11:57
61,请你离开我的回忆,原本以为是搞笑 结果是来真的,2023年06月24日 11:50
62,华哥哥哟丶,6万粉丝做了600万粉丝的事,2023年06月24日 11:36
63,十七-毕十三,b站来的YYDS,2023年06月24日 11:35
64,碎旺旺冰冰,威尔 你看好了,2023年06月24日 11:13
65,轻描丶淡写的美2104,刚刚刷到的就来了,2023年06月24日 11:12
66,还没死就继续拼,好听，深有感触,2023年06月24日 11:11
67,窈窕淑女君子好逑nn,爱了,2023年06月24日 11:09
68,i懵殇i,抖音过来的,2023年06月24日 11:06
69,落陌---,太爽了,2023年06月24日 11:04
70,万事可乐kx,6,2023年06月24日 10:57
71,玄-子,哎 吃了有文化的亏,2023年06月24日 10:52
72,您的可爱父亲,成功并不是人生的主旋律 加油加油,2023年06月24日 10:51
73,Givez,好活 当赏,2023年06月24日 10:51
74,请你祝我今天愉快,Up 太厉害了,2023年06月24日 10:37
75,三水晴溪雨,牛逼,2023年06月24日 10:36
76,困情兽,好听,2023年06月24日 10:34
77,Wa嘻嘻嘻,牛啊🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮,2023年06月24日 10:30
78,是小宁bo,[多多比耶]太有文化了pass掉,2023年06月24日 10:28
79,hsz004,正能量了 弄的好,2023年06月24日 10:26
80,Xy喜欢干饭,输在起跑线，还是吃了学历高的亏,2023年06月24日 10:17
81,_RunningBoy,这歌吃了有文化的亏,2023年06月24日 10:12
