_id,name,comment,time
1,Killer-Jun,李佳隆这段hook太牛了，这一季最佳户口。,2023年06月24日 22:23
2,周杰l仑,靖哥英文那段好牛波一,2023年06月24日 20:59
3,小鑫_xjr,真的JelloRio的hook我哭死,2023年06月24日 20:40
4,hiphop小龙,李佳隆JelloRio不仅会唱情歌全能方位的战士相信佳隆的hook🔥,2023年06月24日 22:01
5,WokenDay明日花,本来是来听靖哥秀段英文就打算走，一不小心听到李佳隆被留下来了，小春一出来我就真的走了。,2023年06月24日 20:34
6,阿惠_M,佳隆的hook巨上头,2023年06月24日 22:22
7,法老爷子,李佳隆旋律天才！！！,2023年06月24日 21:33
8,Ashabl_,李佳隆这季属于让我改观了 20年冠军是值得的,2023年06月24日 18:37
9,Conjeeeee,李佳隆这段挂电的bridge是我过来收藏的原因 靖的flow就不用说了,2023年06月24日 23:52
10,Looz27,李佳隆的hook依旧顶满,2023年06月24日 20:35
11,SEVENTEEN-摩登,靠，李佳隆hook我会疯掉,2023年06月25日 20:45
12,Shawwwww_,这首原曲还能黑啊,2023年06月25日 20:43
13,Wannacc,jin这段太秀了,2023年06月25日 20:27
14,Softlipallli,其实多听几遍 你会发现小春那part很搭,2023年06月25日 20:27
15,JDrewB-,我觉得有点像SHE的波斯猫,2023年06月25日 20:15
16,-棉裤哥哥-,强烈要求佳隆在这首歌的基础上出个单曲,2023年06月25日 19:54
17,luiny_QZR9,我爱了,2023年06月25日 19:49
18,1142091215225,好喜欢改编歌啊真的,2023年06月25日 19:32
19,竖二六口,李佳隆牛逼,2023年06月25日 19:12
20,NO-Rapper,嘻嘻 你生气啦？,2023年06月25日 19:08
21,小鑫_xjr,yes,2023年06月25日 18:55
22,小丽啊阿啊阿,上头,2023年06月25日 18:43
23,HHHBOYBaby,秀啊秀啊 好听,2023年06月25日 18:39
24,Pop于,太抓耳了佳隆[西西心动],2023年06月25日 18:31
25,Pop于,太对了兄弟，我和你一样，上一季佳隆竞技就唱了两首，当时还没听懂，这季从头开始听佳隆，回头去听上一季的传奇是真传奇,2023年06月25日 18:29
26,Tsukiko月子_,吊,2023年06月25日 18:20
27,要怎么抱着花才显得不紧张,jello太顶了这个hook好喜欢,2023年06月25日 18:16
28,GWG8,谁知道啊 那一段太好听了,2023年06月25日 18:15
29,小狐狸的小熊耳朵,李佳隆那段太好听了,2023年06月25日 18:14
30,heavenherosky,轻轻一点，直接输入上屏,2023年06月25日 18:13
31,heavenherosky,ijvb,2023年06月25日 18:10
32,Yuan_飛行器,李佳隆无解这波,2023年06月25日 18:07
33,妙汐吠萝,佳隆让人惊讶,2023年06月25日 17:47
34,Niixiaoyaa-,可是小春也很厉害啊[多多大哭],2023年06月25日 17:44
35,烂大街的不是love,穿你的 穿你的新衣，看你新衣能穿几个星期,2023年06月25日 17:40
36,小星星___star,李佳隆真的好可爱,2023年06月25日 17:35
37,妮妮_QT4Z,[西西惊讶][西西惊讶][西西惊讶][西西惊讶][西西惊讶][西西惊讶][西西惊讶][西西惊讶]cpdd[多多可怜][多多可怜][多多可怜][多多可怜][多多可怜][多多可怜][多多可怜][多多可怜],2023年06月25日 17:33
38,你比甜瓜甜,毛衍七七七七七七七七七七七七七,2023年06月25日 17:28
39,Killer-Jun,不知道是不是现写的,2023年06月25日 17:14
40,胡图图北京分图,靖哥还好，小春是真的拖后腿,2023年06月25日 17:12
41,胡图图北京分图,对，没记错那场靖哥的上衣是黄色的,2023年06月25日 17:11
42,白昼幻象,,2023年06月25日 17:04
43,在九月的普通一天,佳隆那段好好听！！,2023年06月25日 16:56
44,sskissme_,李佳隆旋律小天才,2023年06月25日 16:55
45,蓝色小发发,谁懂啊 看着综艺直接摇起来了[星星眼],2023年06月25日 16:46
46,似此星辰非昨夜xx,欧阳靖哥多点粤语rap吧 很帅的,2023年06月25日 16:42
47,甲硝唑_jxz,@和文forever @数理不太好 @sense其琛 屌炸靖哥yyds,2023年06月25日 16:37
48,胡图图北京分图,毕竟当年freestyle的原词,2023年06月25日 16:27
49,奈德丽的演奏曲,看到圈子长大，让我感觉像骄傲的爸爸,2023年06月25日 16:21
50,林冰月光仙子,好听,2023年06月25日 16:19
51,酷奇668,李佳隆那段是不是在哪儿听过？太顶了,2023年06月25日 16:11
52,_CIEI,好好听！！！,2023年06月25日 16:01
53,太真实了吧,李佳隆已在巅峰！,2023年06月25日 15:55
54,bbAWM99,李佳隆的部分，反复听！！！,2023年06月25日 15:34
55,小八yk,可是李佳隆的hook和S.H.E的波斯猫的hook真的好像,2023年06月25日 15:31
56,手排琴结果Screamo,[西西再见][西西再见][西西再见][西西再见][西西再见][西西再见][西西再见][西西再见][西西再见],2023年06月25日 15:26
57,Kn1gh_T,其他两人有点拖佳隆后腿了,2023年06月25日 15:16
58,jump魏,这评论有点少了,2023年06月25日 15:10
59,周旋久-,va姐 把beat买回去。咱再穿一回新衣行不行好帅的beat,2023年06月25日 15:02
60,手排琴结果Screamo,[西西惊讶][西西惊讶][西西惊讶][西西惊讶][西西惊讶],2023年06月25日 14:56
61,Violent丶,中文也越来越棒了,2023年06月25日 14:52
62,Violent丶,靖哥最后一句英文用了当年freestyle，家人们谁懂啊🙀,2023年06月25日 14:51
63,老杰迷,佳隆救了这首歌,2023年06月25日 14:48
64,visoned,小春这段够干够烂,2023年06月25日 14:34
65,so_much__,为啥这首还不999,2023年06月25日 14:30
66,吃点农药调理一下吧,不爱听就爬嘛哎哟,2023年06月25日 14:25
67,嘻嘻小雯,李佳隆的部分好好听啊！,2023年06月25日 14:24
68,LuckyYoung99,➕🐲🐮🍺,2023年06月25日 14:22
69,Strong_Eater,能不能把靖哥这几场的单独剪一段🥹,2023年06月25日 14:18
70,natsuT_T,小春,2023年06月25日 14:12
71,zyjjjjjjjjjjjjjjjjjjjjjjjjjjjj,"My pants is new my sweater is new，
Don’ t be mad，
A chinese kid dress better than you。
靖哥太帅了经典重现",2023年06月25日 14:10
72,DdwecPek,我的猪皮,2023年06月25日 14:08
73,太阳落下前的黄昏,终于换衣服了,2023年06月25日 13:46
74,乱拳打死老师傅Tiger,李佳隆的hook太好听了！！！！,2023年06月25日 13:34
75,谙漻南,这个改编得好好啊,2023年06月25日 13:34
76,蛙蛙菜王子,毛衍七 毛衍七 毛衍七,2023年06月25日 13:31
77,findtheworldoceans,李佳隆真的点睛之笔,2023年06月25日 13:29
78,Magnie,我也觉得！绝对的最顶级的hook，这个旋律是现写的还是之前歌里面的啊？我看词是用的我的新衣里面的,2023年06月25日 13:27
79,zk0301,欧阳靖这段flow比小春要吊,2023年06月25日 13:24
80,老Toby啊,加龙好听,2023年06月25日 13:12
81,予己殊荣,挺好听的呀,2023年06月25日 13:07
82,鱼窥湖,开头是修音了吗？没进准？,2023年06月25日 13:04
83,小羊爱吃冰,我来吹李佳隆了，好好听！,2023年06月25日 13:03
84,yuwanlf,都2202年了还有人喷autotune,2023年06月25日 13:02
85,XYyuzhoudiyishuai,太太喜欢我们佳隆饱饱了[多多大哭][多多大哭][多多大哭],2023年06月25日 12:49
86,ForeverPoison,A chinese kid dress better than you 泪目,2023年06月25日 12:48
87,不是黄惠星星,李佳隆旋律天才 好想单拎出来听这段hook,2023年06月25日 12:47
88,jinchongye,李佳隆的那段好赞啊,2023年06月25日 12:46
89,MMMMM淼,佳隆可以的真的很好听,2023年06月25日 12:36
90,哎呦哎哟哎呦不错哦,好听,2023年06月25日 12:35
91,zz睿r,这么好听为什么评论这么少,2023年06月25日 12:17
92,又又又砢砢,想单听李佳隆那段了都哈哈哈哈,2023年06月25日 12:02
93,又又又砢砢,喜欢李佳隆那段！！！,2023年06月25日 12:02
94,猝死在网易云,分2波上场,2023年06月25日 11:47
95,不是山谷是复读机,妈呀李佳隆！！太好听了,2023年06月25日 11:44
96,宿宿_whum,这么好听为什么没评论,2023年06月25日 11:42
97,风若心动,佳隆就是旋律天才，太他妈好听了吧,2023年06月25日 11:39
98,失愿终章,李佳隆hook真的顶,2023年06月25日 11:36
99,LaMel0-,佳隆那段hook太洗脑了吧,2023年06月25日 11:34
100,不酷不帅也没姿态,这个也输给了一席之地....,2023年06月25日 11:31
101,Sup超人哥哥,编曲是Starr chen,2023年06月25日 11:17
102,凹凸曼困了,感觉好听呀，人好少,2023年06月25日 11:06
103,馬泽寓,还得是欧阳靖,2023年06月25日 10:59
104,睿智的Edward,觉得不好听就别听呗，有人喜欢,2023年06月25日 10:53
105,waga魔王,陈星瀚牛逼,2023年06月25日 10:49
106,关耳已黑化,好听，喜欢,2023年06月25日 10:48
107,给水管道怎么画,靖哥这段真不错！,2023年06月25日 10:40
108,巫女也吃枇杷,佳隆太出彩了,2023年06月25日 10:34
109,LIN-7_tt,春哥太帅咯,2023年06月25日 10:09
110,归途安稳,这段hook好抓耳,2023年06月25日 10:01
111,毛绒绒研究局,这首也好听！！！,2023年06月25日 09:58
112,URDADDISME,欧阳靖的flow很棒，国语又进步了，李佳隆的旋律太棒了,2023年06月25日 09:47
113,URDADDISME,可以，比原曲好听,2023年06月25日 09:46
114,Raydogg_,大家都没意识到jin唱英文时候的flow和技巧真的..不是一般的强，包括和beat的匹配度真的，每次他唱英文真的是高一两个维度，真的不是尬吹。,2023年06月25日 09:46
115,xp团团的小sa,欧阳靖开口跪,2023年06月25日 09:42
116,我们偶有共情,这段hook太舒服了 跟beat完美贴在了一起,2023年06月25日 09:41
117,_SongTaste,靖哥这段中文好丝滑~,2023年06月25日 09:39
118,我四你巴吧啊,好好听,2023年06月25日 09:37
