_id,name,comment,time
1,Dearwhen-,下雨就跑起来啊 笨蛋[多多大笑],2023年6月19日 10:33
2,Meng即正义,因为当我飞奔向月亮的时候 月亮也在为了我学习奔跑,2023年6月19日 10:35
3,林晨陽Cheny,从写第一首《鸽子》到现在的制作创作的《当我奔向你》及其他几首歌曲。时间也过去了七年之久。很开心重拾最纯粹的自己去创作这几首歌。也很荣幸“奔奔”在去年能找我创作它们。歌曲就是剧的翅膀~希望大家喜欢，多多看剧多多听歌！,2023年6月19日 16:40
4,喵两声儿我听听,好喜欢这种用相机记录的开头结尾啊 真的特别生动美好！整部剧不管是角色 还是布景 氛围 配乐都洋溢着青春的活力和温暖 简直是世外桃源 也太让人向往了叭🥺,2023年6月20日 14:48
5,沈予翕,“我不是胆小鬼，起码在你的面前，我的勇气可以拿第一名。”,2023年6月19日 15:04
6,Aio7_46zZ,"我发现了一个秘密。
他好像一撒谎就会摸脖子。
--《苏在在小仙女的日记本》",2023年6月19日 23:29
7,亲亲小豆猪,"她病得不轻，却喜欢我。
那我就姑且认为她没有病吧。
——张陆让",2023年6月20日 00:57
8,沈予翕,猫的树的剧 感觉都是不舍得拉片头的剧,2023年6月20日 04:32
9,你脸红了耶yyy,"“我不高兴的时候只要吃了果冻心情就会变好”
“为什么”
“我也不知道诶”
“我是问你为什么不开心”
！！！！！！！！",2023年6月19日 23:37
10,贤儿Misty,太喜欢片头的氛围感了不愧是猫叔,2023年6月19日 14:33
11,SuperWaner,“不一定非要成为太阳 做一个星星也很不错的 想发光的时候就发光 不想发光的时候就可以偷个懒 因为在意你的人即使你不发光也能一眼看到你”,2023年6月19日 15:44
12,k短腿马里奥,人们都追张陆让时 我却偏偏喜欢显眼包顾然.,2023年6月20日 23:09
13,MBIGBIG,"以前的耿耿于怀 现在的苏在在张陆让
青春校园剧总是最戳人
听这首歌有种热泪盈眶的感觉🥹
原来16岁已经离我过去了十年[苦涩] 但总觉得好像也没过去多久…
提前㊗️自己生日快乐 [跳跳]
不管以后路走得多远 回头想想…
希望自己永远记得年少的热烈保持初心[太阳]",2023年6月19日 12:51
14,1_1思念结成冰,"“我在在啦”
“我让让啦”",2023年6月21日 10:42
15,落寞loh_,很难看到让让这种高冷腼腆但不油腻落俗的男孩，很难看到在在这种大方可爱又坚守底线的女孩，很难看到顾然和姜佳这种看似根本不可能在一起、却处处为对方着想的冤家，很难看到关放这种看似浪荡不羁却有着细腻情感、体贴孝顺的少年,2023年6月19日 16:19
16,Mukiseason,好喜欢,2023年06月25日 21:00
17,在山上放羊呢,"是！在在辣～
谁懂啊 好喜欢苏在在这样的女生啊啊啊啊啊啊",2023年06月25日 20:50
18,泰裤辣辣辣0,"""只有跟你有关的雨天对我来说才有意义""",2023年06月25日 20:49
19,jjenn_L,附中刘亦菲,2023年06月25日 20:49
20,Ziuu6ees_,我也这样觉得！,2023年06月25日 20:38
21,TIanTianana,也可以是自己的女王,2023年06月25日 20:37
22,你心似冰岛-05,她病得不轻却喜欢我 那我就姑且为她喜欢我吧,2023年06月25日 20:35
23,梨涡rio,走神回到放风那天,2023年06月25日 20:28
24,哇哦-尔玉子,我在在辣 我让让辣,2023年06月25日 20:24
25,爱昆女孩,是主人公们青春洋溢的十七岁，是跳出被怀疑自证的信任，是在在说的“我们都不要为了别人放弃自己的梦想，一起成为更好的人才是最酷的事”，这就是影视作品存在的意义吧,2023年06月25日 20:11
26,Gentle_fUNS,"“我在在啦”
“我让让了‘’",2023年06月25日 19:44
27,E6E6FA,“苏在在，合欢花要开了”,2023年06月25日 19:43
28,求是的荔枝,如果青春的话，那就去大胆追梦吧！,2023年06月25日 19:40
29,略略略略略略略略略略略略七,有种台偶的赶脚,2023年06月25日 19:25
30,kaqipingzi,鸽子就超爱，没想到这首歌又让我单曲循环几天了，爱到改了微信铃声～每当旋律响起就觉得自己再次回到学生时代,2023年06月25日 19:21
31,哈哈哈哈ccc-,年轻真好啊,2023年06月25日 19:06
32,左耳无听力,苏在在 合欢花开了,2023年06月25日 19:04
33,-爱睡觉x,消失的下雨天我好想再淋一遍,2023年06月25日 18:19
34,忘空鸟-,好听,2023年06月25日 18:18
35,阳光推开窗它照着我,明天 是个好天气，所以……你有时间吗,2023年06月25日 18:17
36,河南纯爱女,天天开心,2023年06月25日 18:16
37,普通且自信的美少女,经济独立，不仅是女人的物质粮仓，也是我们的精神居所。一个女人有了独立赚钱的底气，才能活的从容笃定，处变不惊！早上好,2023年06月25日 18:01
38,你凌乱的头发,我也爱[多多大笑],2023年06月25日 17:59
39,齾龘而灪滃,这才是青春！大胆去爱,2023年06月25日 17:51
40,美女不落泪_H,消失的下雨天 我好想再淋一遍,2023年06月25日 17:42
