_id,name,comment,time
1,土味老爹,我赌一包辣条这首歌会突破999+,2015年12月2日
2,曾拒杨幂99次,前奏也许听一遍就会爱上,2019年8月20日
3,帐号已注销,喜欢冷门的歌手有种我独占他的感觉,2017年1月2日
4,zzary_,前奏直接秒了我呜呜呜[多多大哭],2021年7月18日
5,清川染池暮,这个前奏简直无敌，人少但是曲子一流,2022年9月30日
6,Firstfrost_7,你都牵别人的手了我等你妈啊,2022年2月20日
7,风过荷影Asuka,4年多了……不到200,2020年3月17日
8,z君之名,昨天还是冷门歌曲，今天突然999+,2022年10月3日
9,背着梦的幸存者X,如果你也喜欢R&B，那我们做朋友吧👏🏻👏🏻👏🏻,2020年2月8日
10,YoungBai,要是和前奏一样的纯音乐就完美了.[多多可怜],2022年10月2日
11,FANCY-EVERYTHING,抖音过来的 前奏好听,2022年9月29日
12,幽窗冷雨一灯孤独,前奏真赞，我已经设为铃声了，哈哈😊,2022年10月8日
13,昔日无琞,前奏直接封神了，好好听。[多多可怜],2021年11月27日
14,愿与风诉爱意,等我妈也行，但是等我最好[多多大笑],2022年9月14日
15,子兮200820,应该不会还有人跟我一样，因为前奏就立马点了心动模式吧…😂😂😂,2021年10月30日
16,羊找麋鹿,总有一天 你会懂的,2023年06月25日 19:35
17,妮妮_QT4Z,cpdd,2023年06月25日 17:41
18,静静有点眯眯,直到今天为止我从未遇到过真正治愈我的人 我总是在追逐被爱道路上磕磕绊绊 消耗着自己,2023年06月25日 17:23
19,河北大朴宰范,加油,2023年06月25日 17:04
20,河北大朴宰范,如果你有足够的能力照顾好自己，那么希望你可以辞职后放肆的生活,2023年06月25日 17:04
21,什么时候算是真正的逃离,前奏秒我,2023年06月25日 15:58
22,温柔可爱D_,我也是,2023年06月25日 15:48
23,手排琴结果Screamo,[西西奸笑][西西奸笑][西西奸笑][西西奸笑][西西奸笑][西西奸笑][西西奸笑][多多难过][多多难过][多多难过][多多难过][多多难过],2023年06月25日 15:34
24,很优秀Y,抖音刷到前奏来下载了,2023年06月25日 13:27
25,陆叁零-,想辞职,2023年06月25日 12:07
26,甜茶6987,加油💪,2023年06月25日 12:06
27,河北大朴宰范,现在是2023年6月25日，端午节过完了，周日正常上班，平凡的日常，燥热的心,2023年06月25日 08:31
28,许你岁岁安_r,很牛,2023年06月25日 08:31
29,生活分享屿谁,999+指的是评论吗,2023年06月25日 08:16
30,是阿巧的L,冲冲冲,2023年06月25日 04:25
31,刿墟,成了,2023年06月25日 01:20
32,羽南03,够了,2023年06月25日 01:17
33,白朵朵长点儿心吧,现在突破啦宝贝,2023年06月25日 00:13
34,灬-春衫薄丶,随音而起，用爱感受！,2023年06月25日 00:04
35,是juju也是猪猪,前奏无敌,2023年06月24日 23:54
36,超级无敌酷炫淑女,行 别再想多,2023年06月24日 23:52
37,HHLAL9,我不否认我的心动，我也会大大方方为自己不好的运气买单。,2023年06月24日 23:10
38,那我不活了,@想问你是否真心 姐夫这首歌喜欢嘛 ₍ᐢ.ˬ.⑅ᐢ₎,2023年06月24日 23:08
39,小吖噫,前奏响起好有节奏感，特别适合当铃声,2023年06月24日 23:00
40,霜降呐w,突破了,2023年06月24日 22:59
41,鹭湖_EWtZ,2023突破了,2023年06月24日 22:58
42,青衫染尘m,葱姜蒜自带,2023年06月24日 22:56
43,汉林老K,后天就要期末考了好紧张,2023年06月24日 22:48
44,剔挑灯,一定要妙语连珠吗，我支支吾吾含糊其辞的言语也是爱啊,2023年06月24日 22:45
45,平淡日子里别带刺,我光头强也来,2023年06月24日 22:06
46,平淡日子里别带刺,恭喜你，到23年才赌对了,2023年06月24日 22:05
47,小梨涡zzzz,,2023年06月24日 22:02
48,gyoku_1125,like,2023年06月24日 21:49
49,夜袭小先生,破啦,2023年06月24日 21:48
50,贤饼_Y,8年了，999+了,2023年06月24日 21:38
51,懿清欢_,我是抖音过来的,2023年06月24日 21:32
52,谷野_nVpU,家人们有无纯音版本的？[多多可怜][多多可怜][多多可怜],2023年06月24日 20:46
53,deer7ttkx,你并非无声的海 只是不为我澎湃,2023年06月24日 19:06
54,我是中豪啊,这不就到了吗,2023年06月24日 19:02
55,葡萄味的熊猫,前奏无敌了，听一遍就会爱上,2023年06月24日 16:01
56,玄溢,呼哈！,2023年06月24日 15:33
57,别思W,破了,2023年06月24日 12:41
58,岑明颜,刷抖音被这前奏给惊艳到了,2023年06月24日 12:16
59,CHEER42y,前奏真好听,2023年06月24日 12:10
60,呓噜,这首歌必火,2023年06月24日 10:21
61,19纯情小妈,爱上前奏了,2023年06月24日 07:23
62,生煎包要两个,牵了别人的手就不能牵我的啦。,2023年06月24日 00:01
63,Alan别鹤,河南人不骗河南人,2023年6月22日 13:15
64,Alan别鹤,相信我啊，一定要听！！！！！！[多多可怜][多多可怜],2023年6月22日 13:15
65,Alan别鹤,Rodeo,2023年6月22日 13:15
66,Alan别鹤,love you like i do,2023年6月22日 13:14
67,如烟复如黛,8年了 999+了,2023年6月22日 04:17
68,999连跪的感冒灵,我们无法判断某个瞬间的意义 直到它成为回忆,2023年6月22日 02:08
69,付雪梨Ee,2023了999+,2023年6月21日 23:32
70,两杯冰美式呀,2023年,2023年6月21日 20:59
71,vyyycy,2023破啦999+[多多大笑][多多大笑][多多大笑],2023年6月21日 20:11
72,爱的战士虚渊玄2001,有没有类似感觉前奏的歌啊，好喜欢,2023年6月21日 15:54
73,爱的战士虚渊玄2001,前奏神了,2023年6月21日 15:53
74,伤心小陆一号,再来一次,2023年6月21日 14:44
75,十面宿傩,赌对了兄弟,2023年6月21日 13:44
76,十面宿傩,八年了，999+了,2023年6月21日 13:43
77,J_F佳霏不是猫,'cause you deserve better.,2023年6月21日 12:56
78,每天都好困_qvq,本来以为前奏很爱 然后发现后面更惊艳,2023年6月21日 10:28
79,小鹿小鹿_Osx7,他都跟别人做了，我还做梦梦到他告诉我都只是误会他还爱我哈哈哈哈,2023年6月21日 09:45
80,二月放晴,我们都会找到属于自己的那个人吧.,2023年6月21日 00:42
81,李高幸319,我要卫龙,2023年6月17日 15:48
82,烤肉小猫,谁会唱这首我直接三百六十五度跪地求婚💍💍💍,2023年6月16日 20:56
83,Scavenger-007,我慢羊羊也加上➕,2023年6月16日 20:19
84,烟雨下跳舞,到了999+,2023年6月5日 08:34
85,破碎信封,喜欢,2023年6月3日 01:23
86,清柠_A5,前奏很好听,2023年5月31日 23:03
87,小巷子里吃过亏_,起床铃声,2023年5月31日 20:25
88,lffilf,哪里有前奏！！！,2023年5月29日 22:25
89,angesmile,刷到我的铃声了~,2023年5月24日 10:16
90,GDyaBaby,现在是 2023 年，这首歌太好听了吧我天,2023年5月23日 17:22
91,扶摇胜寒,是的,2023年5月20日 12:20
92,扶摇胜寒,太好听了吧，好抓耳,2023年5月20日 12:19
93,PurpleFog,吗？,2023年5月18日 07:52
94,PurpleFog,这个风格是rb,2023年5月18日 07:52
95,青丝青衫亦倾城GD,前奏真的有亿点点好听,2023年5月17日 17:41
96,Riirk,太好听了 放不出什么厥词,2023年5月13日 07:33
97,像是微风吹过,ST时代的眼泪啊,2023年5月8日 20:10
98,wDEx,2023.05.05 999+了,2023年5月5日 10:33
99,Aokir,前奏,2023年5月3日 01:13
100,海边听漁,前奏秒我,2023年5月1日 17:24
101,荧星丸子,这个伴奏好美,2023年5月1日 15:21
102,宇宙最无敌的怪兽是你吗,前奏真的很好听,2023年5月1日 04:33
103,陆亓枫,呃啊啊啊啊啊啊绝了哇啊啊啊,2023年4月25日 22:06
104,羽落樱城,999+了,2023年4月24日 20:30
105,winterbroke_n,耶,2023年4月22日 08:27
106,winterbroke_n,被我发现啦,2023年4月22日 08:25
107,十里桃花一场梦,把你的辣条交出来,2023年4月21日 16:20
108,鲁南下小雨,没关系 我会自己给自己打气,2023年4月20日 23:07
109,鲁南下小雨,下次恋爱的暗号就是:我永远都在你身后,2023年4月20日 22:53
110,沉睡黑洞,这首歌有没有纯音版的,2023年4月19日 22:01
111,沉睡黑洞,前奏太好听了吧[多多大哭],2023年4月19日 21:49
112,此间忱眠,听到前奏就点了,2023年4月18日 20:08
