_id,name,comment,time
1,野生冰箱子,我也是姓鹿 每当失落的时候就点开鹿晗微博 评论一堆全身“鹿哥主要身体 鹿哥永远爱你 鹿哥...”心里顿时暖暖的了,2016年1月23日
2,折憨,又多了一首值得循环播放的中文单曲了！,2014年12月2日
3,壹玥拾二,鹿晗在最火的时候公布了关晓彤。,2020年7月18日
4,Rebeccaaa,歌不错，情感表达很到位，喜欢这种声音，多出单曲吧鹿晗,2014年12月2日
5,绵绵思远道_aTid,鹿晗吧 其实是个挺招人喜欢的男孩子 不光外表长得好 性格什么的也不错 挺实在的 以前因为EXO的一些粉丝不怎么喜欢他 后来他退了之后在中国发展的多了 看过他演的电影 听了他的歌 看他参加奔兄 脸上的笑容真是挺真诚的 也很努力 实诚孩子 另外这歌很好听,2016年1月26日
6,HunterChloe,一个人走到终点，不小心回到起点，一个新的世界，此刻我才发现，时间没有绝对，不用说不用问，就明白就了解，每一刻都像永远。『支持鹿晗顶起来，评论怎么可以这么少』,2014年12月2日
7,敬福绿灯,不用说不用问，就明白就了解。,2014年12月2日
8,小凸不秃,2021年了，还有多少人听着这首歌呢？,2021年2月9日
9,August_H_H,被点一次赞我就来听一次....,2022年2月9日
10,枇杷少女,作为个人SOLO，某些看客说“唱功”不行（要装x格高，麻烦说点专业的来唬人，别吓唬小朋友）；但其作为OST，绝对诚意之作，至少我听到了真情实感,2014年12月3日
11,花冋花,声音很好听，歌也不错,2014年12月2日
12,下课等你,我不是鹿晗粉 我也27了 去年我妈来火车站送我时 旁边超市放的就是这个歌 顿时扭头哭了 有些时间真的回不去了。,2016年2月28日
13,小董em,小鹿你要加油哦，这不是对鹿晗说的，是对独一无二的你说的，要加油，——来自鹿晗的粉丝,2018年12月29日
14,昵称就是妮称,男生版好听、什么小鲜肉啊叫的那么没内涵、明明就是颜值高会唱歌跳舞的实力派,2016年3月31日
15,暖暖溢,我就觉得这个小伙很真诚。真的很真诚。跟那些韩国回来的其他明星都不一样,2015年11月23日
16,番茄芝麻糊,祝广大23届广东中考生！中考成功！！,2023年06月25日 20:04
17,Youty_1iP3,再次听到这首歌已经是过去三年了 听起来有种怀念的感觉 但是回不去了,2023年06月25日 20:02
18,_九九九九思,加油！一定会得偿所愿的！,2023年06月25日 19:49
19,小熊抱着月亮,明天就中考完啦 三年真的过好快 真的好想重来一次 祝自己考上一中吧,2023年06月25日 19:38
20,吹吹科切拉晚风,第一次听这首歌还是小学,2023年06月25日 19:38
21,Fairy45,回头看，轻舟已过万重山,2023年06月25日 19:19
22,一只小松徐_Pk,点一个赞听一遍,2023年06月25日 18:58
23,游灯er,当初是真的期待有个人真的能理解我的感受的，后来才明白世界上没有真正的感同身受,2023年06月25日 18:43
24,LONELYFISHI,这首歌太适合毕业季了,2023年06月25日 18:41
25,Preferenceme1112,考不上要死,2023年06月25日 18:12
26,是玫瑰动了情,考上就上大学，考不上就是孔乙己,2023年06月25日 18:11
27,有缘无分203,23年了 她也走了好久,2023年06月25日 18:05
28,美团骑手小晨,今年怎么样啦 宝贝[多多大笑],2023年06月25日 17:53
29,小艺睡不饱,第一次听的时候12岁 现在我已经20岁了,2023年06月25日 17:52
30,Ustinian-Z-Z,又来这找青春了,2023年06月25日 17:49
31,风绕海,希望考好！,2023年06月25日 17:21
32,妮妮_QT4Z,cpdd,2023年06月25日 17:19
33,陪陪敏敏_Z,乐,2023年06月25日 17:18
34,立刻l有,出成绩啦 万事顺意,2023年06月25日 17:01
35,坦坦坦杨,谢谢,2023年06月25日 16:56
36,坦坦坦杨,谢谢,2023年06月25日 16:56
37,坦坦坦杨,谢谢,2023年06月25日 16:56
38,顾齐森,来晚了，加油👍,2023年06月25日 16:52
39,不世愿,太棒啦～以后都要顺顺利利哦,2023年06月25日 16:49
40,老子最帅_wM6X,复读一年上一本了 终于圆梦了,2023年06月25日 16:25
41,没有你的4月_,好听,2023年06月25日 16:21
42,-yu-宇-,2023已经过去一半了,2023年06月25日 16:17
43,手排琴结果Screamo,,2023年06月25日 15:40
44,早睡荣荣,怎么样怎么样,2023年06月25日 15:33
45,云村村民166864244206754,爱了就爱了,2023年06月25日 15:17
46,手排琴结果Screamo,[多多难过][多多难过][多多难过][多多难过][多多难过][多多难过],2023年06月25日 15:11
47,不辞青山万里,昨天去见我的青春了。依旧是少年，依旧明媚似阳光。好短暂，好短暂。下次演唱会，我要坐前排！我要做灯牌！我想让他看见！,2023年06月25日 14:58
48,Fsray-,我看着 没剩多少时间,2023年06月25日 14:56
49,好哦第一个,高三的时候学校里经常放这首歌，那时还觉得20岁还早呢。。。,2023年06月25日 14:52
50,失败堕落的我,2023.6.25,2023年06月25日 14:43
51,手排琴结果Screamo,,2023年06月25日 14:42
52,白天睡不醒x,23年了，依旧会有人听,2023年06月25日 14:16
53,蓝莓味的喂,看了一次 再也走出不来了,2023年06月25日 14:15
54,啊彩r,2023年了，还有多少人听着这首歌呢？,2023年06月25日 14:14
55,是喜欢ba,九年,2023年06月25日 14:02
56,Kkkk_ZwNT,今天出成绩啦！！我的青春结束啦,2023年06月25日 14:01
57,伯乐的,高考查分还有俩个小时啦！！！！,2023年06月25日 13:52
58,回春的爱玲,居然9年了,2023年06月25日 13:41
59,avoill,这一次的哭是因为你熬出头了哦！未来会越来越好的，加油！[多多调皮],2023年06月25日 13:39
60,车厘子好甜吖,很棒,2023年06月25日 13:28
61,tsuki_YokZ,爱从不曾保留 才勇敢了我,2023年06月25日 13:23
62,改天见个面吧,真的哭死 抢到了广州的票却因为考试不能去看 我真的好难过 最近一直刷到抖音演唱会的视频 真的好难过好伤心🥲🥲🥲,2023年06月25日 13:13
63,云村村民162884713977726,23年还有,2023年06月25日 13:06
64,没意思Y_w,祝自己中考顺利,2023年06月25日 13:06
65,Darling_FARNXX_02,广东发来祝贺,2023年06月25日 13:03
66,Darling_FARNXX_02,一起上厕所，一起吃饭，一起回家，（等我一下啊）（你是不是喜欢她）高中虽然过得不是那么精彩，虽然还是有遗憾，可还是过去了，我们都已长大成人，没有了高中的随心所欲.....,2023年06月25日 13:02
67,崔崔崔崔丝塔娜,哈哈太真实了,2023年06月25日 12:59
68,QQ星k,论白月光的杀伤力[多多大哭],2023年06月25日 12:52
69,可惜你只听郑润泽,祝你成功上岸,2023年06月25日 12:48
70,名叫肥四wag,对不起啦哥哥没有抢到演唱会的票也许这辈子都无法亲眼见到你唱歌,2023年06月25日 12:40
71,PRqqqpp,我也像做了一场梦,2023年06月25日 12:27
72,PRqqqpp,昨晚这首歌一出来能有几个不哭,2023年06月25日 12:27
73,ppUyaoO-o,宝宝不可以哭 你值得的！!恭喜呀 还有一天中考完啦,2023年06月25日 12:12
74,七月_M8cy,恭喜🎉,2023年06月25日 12:08
75,七月_M8cy,朋友 现在是2023年6月25日,2023年06月25日 12:08
76,大牙伢的,刚看完三巡 [多多大哭]现在来回味一下,2023年06月25日 12:06
77,kilakilasulidesi,高考出分了 是我考的最好的一次😭😭😭😭,2023年06月25日 12:05
78,酒酿樱桃子io,我去上学啦,2023年06月25日 11:57
79,酒酿樱桃子io,好听,2023年06月25日 11:57
80,lovely丶R,若我的若！,2023年06月25日 11:38
81,淋颂,结束了,2023年06月25日 11:32
82,夏如风-,一起加油！,2023年06月25日 11:31
83,雾隐观山河,哥的三巡虽然没唱勋章 但是唱了我们的明天 而且三巡没抢到票 只能等四巡了,2023年06月25日 11:26
84,最爱的我们1,祝我们的明天越来越好,2023年06月25日 10:55
85,眼角有泪花_7,我一身坏毛病 注定失去很多东西 但你知道的 我最舍不得你,2023年06月25日 10:37
86,蓝莓味的喂,14岁的喜欢 终于在24岁奔赴了,2023年06月25日 10:26
87,十六画_5,地生顺利！,2023年06月25日 10:24
88,吗喽的命也是命,小学时候听的歌了，每次听都会有不同的感觉，好怀念啊,2023年06月25日 10:22
89,一只羊yk_1,加油宝宝,2023年06月25日 10:18
90,伤心的小狗_u0oV,加油,2023年06月25日 10:17
91,半岛铁灯,"我终于见到我最想见的那个人！在我没有光的青春里照亮我的那束光！鹿晗我爱你！这是我们第一次见面，绝不会是最后一次！
我们还会再见的！在心里默念一万次！
下次我还会跑着来见你！",2023年06月25日 10:06
92,半岛铁灯,"我终于见到我最想见的那个人！在我没有光的青春里照亮我的那束光！鹿晗我爱你！这是我们第一次见面，绝不会是最后一次！
我们还会再见的！在心里默念一万次！
下次我还会跑着来见你！",2023年06月25日 10:06
93,那让错纯粹,明天 九年结束,2023年06月25日 09:32
94,Nawizug,我的大学生活在普通又平淡中彻底结束了,2023年06月25日 08:57
95,眼泪拌饭ww,我的青春,2023年06月25日 08:07
96,ijane0-o,2023,2023年06月25日 08:05
97,行大姐,时间过得好快，一眨眼3年过去了,2023年06月25日 07:47
98,桑许的什么愿,非粉都爱的程度,2023年06月25日 07:02
99,L-Duuuuuu,看完演唱会 又来听啦 时间过得好快 第一听的时候才15岁 现在我已经20啦,2023年06月25日 05:14
100,偷吃苹果派,人总会反反复复爱上鹿晗 八年咯 时间过的真快啊,2023年06月25日 03:15
101,小乖都会好的,好,2023年06月25日 02:06
102,想养一只小猫呐,我们的明天永不散场,2023年06月25日 02:04
103,-MEET7,初听已是六年前,2023年06月25日 01:32
104,DY神明_hjy,加油呐 相信自己,2023年06月25日 01:23
105,万水_奈,不要回头，没关系，因为我只要望向你，你永远在我前面。,2023年06月25日 01:21
106,拾柒0527,希望明天高考成绩能如我所愿,2023年06月25日 01:19
107,浪漫和你vcr8_,内娱开门 你鹿爹回来了,2023年06月25日 01:14
108,豆浆5_5,明天见呀陈嘉怡🥳,2023年06月25日 01:13
109,iss_3,高考失利 不会打败我 勇敢地走下去,2023年06月25日 00:49
110,苏远_黑狐,高考结束啦！真的好快啊！[多多大哭],2023年06月25日 00:46
111,Liiovou,希望我能考上二中,2023年06月25日 00:32
112,065太空花店,我在现场听到啦我在现场听到啦我在现场听到啦 好幸福☺️,2023年06月25日 00:22
113,夏树不要哭,小学听 现在大一 鹿晗我爱你！！,2023年06月25日 00:17
114,李李李lili_nx,现在2023年6-25号了,2023年06月24日 23:59
115,若有因,一转眼就粉了九年，当时年纪小，只知道你唱的好好听好喜欢，后来呢，逐渐去尝试了解你，发现你真的是一个很好的人，不仅是作为歌手，更是作为一个榜样吧，渐渐的，去见你变成了当时一直到现在的一个愿望吧，可惜今年因为学业依旧没有办法去见见他，但是我依旧会继续喜欢你，鹿晗，相信我们会见面的！,2023年06月24日 23:58
116,可惜你只听郑润泽,成功上岸了嘛,2023年06月24日 23:47
117,timstarry,演出顺利,2023年06月24日 23:44
118,把ni们豆沙了,还有两天中考了 这三年混着混着也就过去了 实在不知道自己的未来是什么 感觉对不起很多人 好无助,2023年06月24日 23:40
119,2oviii,羡慕你,2023年06月24日 23:27
120,小熊抱着月亮,谢谢你吸吸考试运,2023年06月24日 23:22
121,小熊抱着月亮,谢谢你好的,2023年06月24日 23:22
122,云村村民167086088489977,我终于到鹿晗演唱会现场听这首歌了,2023年06月24日 22:29
123,风尘白晓,超常发挥 生地加油 中考顺利！,2023年06月24日 22:25
124,两点的雾,好消息要来了吗！,2023年06月24日 22:23
125,悲伤的吉士汉堡,小学听 现在已经快大三了,2023年06月24日 22:23
126,两点的雾,怎么样啦，有没有好消息！,2023年06月24日 22:23
127,XILIUMA,加油哦﻿⊙∀⊙！,2023年06月24日 22:23
128,王小凝,当时看电影的时候 只有2.3年级 一听就记了好久 今天偶然哼起这个调子，我已经还有4天就中考了,2023年06月24日 22:22
129,小淮_TzWW,中考大捷,2023年06月24日 22:09
130,音楽拯救世界,三巡顺利,2023年06月24日 22:09
131,我能成为你的光嘛,直到有另一个人 能体会我的感觉,2023年06月24日 22:08
132,One_may,希望考上重点高中，希望三年后可以考上国防科技大,2023年06月24日 21:53
133,its-belike,还是特别喜欢你,2023年06月24日 21:50
134,未知其名_,前奏一响突然想落泪,2023年06月24日 21:33
135,是小月明呀,不要紧张，不会比模拟题难，放轻松，想着放假就可以玩了，平常心态会发挥更好,2023年06月24日 21:23
136,是小月明呀,加油啊，我已是一中高三学生，祝你好运啊，祝你中考大捷,2023年06月24日 21:22
137,我本人贼丑66,经典,2023年06月24日 21:12
138,27个贝壳,李奥我们后会有期 中考加油,2023年06月24日 21:01
139,厌烦Zzh,我想陪你走的 何止是现在的路,2023年06月24日 20:35
140,小眠恋,死去的回忆突然攻击我,2023年06月24日 20:31
141,-会变好的-,2023我还在！,2023年06月24日 20:18
142,pumpkin-xyyy,时间太快啦 第一次认识你还是在跑男 马上就八年了 你还是这么闪闪发光呀大明星平安幸福,2023年06月24日 20:09
143,小熊抱着月亮,,2023年06月24日 19:53
144,小熊抱着月亮,会的,2023年06月24日 19:53
145,小熊抱着月亮,谢谢小宝,2023年06月24日 19:52
146,呆呆小彤-,直到有另一个人能体会我的感觉,2023年06月24日 19:27
147,SONG-ZILING,一样,2023年06月24日 18:55
148,张浩铭_scar,今年如愿了吗,2023年06月24日 18:07
149,贤宇ya,马上又到7.23啦,2023年06月24日 18:04
150,欲明-,2021没见面 今年715重庆见 三巡 顺利,2023年06月24日 17:53
151,11_凌晨两点说晚安,中考顺利 我一定能上岸！！,2023年06月24日 17:39
