_id,name,comment,time
1,小雨转征宇,在巅峰现场布瑞吉问宇哥，为什么明明是男子汉形象却总唱关于女生的歌，宇哥说“为女生唱就是男子汉说唱”,2023年06月24日 00:11
2,盛宇Damnshine,今晚18:00还有惊喜,2023年06月24日 05:50
3,Winelr,梅溪湖来的点个赞！,2023年6月23日 23:49
4,小太阳又来照耀人间了咩,又一首黑宋了老铁,2023年6月23日 23:48
5,夜雨声烦balabalabala,宇哥今晚在梅溪湖说，这季巅峰对决如果没有意外，肯定热单就是决爱 尽的啦！,2023年6月23日 23:59
6,你没有punchline,"这时代充满了容貌焦虑 身材焦虑各种……
姑娘们请不要被这些东西裹挟
勇敢的做你自己！
总有一个人会把你当作心里的【莫尼卡·贝鲁奇】",2023年6月23日 23:55
7,c0de731,👣AFRO SONG PROD BY ME,2023年6月23日 23:53
8,C9Lotte,刚刚梅溪湖来的 已扩散在朋友圈🫡,2023年6月23日 23:53
9,闲人阿梁,当她拿起烟时，所有男人都想帮她点火，却不知道她想要的是一个帮她戒烟的人。,2023年06月24日 01:02
10,贝勒王duki,盛宇和刘聪都有自己的莫妮卡了，现在压力给到小胖了,2023年06月24日 00:26
11,贝勒王duki,"莫妮卡·贝鲁奇（Monica Bellucci），1964年9月30日出生在意大利，意大利模特、演员。
1988年，莫妮卡·贝鲁奇签约精锐模特管理公司，进入模特圈。1990年，主演个人第一部电影《后妈难当》，于26岁正式出道。1996年，凭借爱情片《非常公寓》，以32岁之龄获得凯撒最佳新人奖的提名[1]。2",2023年6月23日 23:55
12,我不快luo了,下次不许鸽一个小时了小馨,2023年6月23日 23:49
13,跑步只听jay,梅溪湖对宇哥的约定 来打歌了,2023年06月24日 01:24
14,城市没有花园,怎么有点浪子不懂爱的感觉,2023年6月23日 23:52
15,Winelr,歌单大概是无湘不成军、庐山、蹦极，隆里电丝、野草、诀爱尽、长河，江湖流，锦上添花,2023年06月24日 00:06
16,Daysmatter和做不完的作业,之前没有这种习惯 直播也是换来换去最后决定换一个生活小小小号,2023年06月25日 21:13
17,UN1CO2N,好听好听,2023年06月25日 20:12
18,UN1CO2N,ok 来评论了哈,2023年06月25日 20:12
19,丸姿九九,给你个面子 设个铃声吧,2023年06月25日 20:10
20,zaorfac,已经会唱了,2023年06月25日 20:07
21,隔着望远镜爱上一颗星星,真的好听啊,2023年06月25日 19:54
22,-Tnwa,好听啊,2023年06月25日 19:52
23,潦草快乐Y,惊喜呢，错过了嘛,2023年06月25日 19:42
24,谜鹿Minleo,听国首歌就要喝宇哥的秘制配方郎爪一边听一边摇,2023年06月25日 18:41
25,别回头ZHANG,宇哥 惊喜呢,2023年06月25日 18:38
26,谜鹿Minleo,哦豁，宇哥又打歌了诺,2023年06月25日 18:38
27,一个可爱雨1,循环播放99遍🔁,2023年06月25日 18:27
28,罗纳尔梅,原曲刘聪那段就算个伴奏，加什么名啊,2023年06月25日 17:56
