_id,name,comment,time
1,招積菊花茶,一个人穿过多人的食堂，操场，过道，假装我在找人，假装边走边玩手机，假装很匆忙,2018年3月12日
2,厌椟,不是网易云懂我 是网易云让我更懂我,2018年2月10日
3,一碗蛙,“你喜欢我扎马尾还是披头发” “我不喜欢你”,2018年7月31日
4,長樂霖,没有前奏的歌曲就像强吻,2022年1月11日
5,Kingsleyni-,如果有人看到了这条留言，不管你是谁， 祝你成功,2022年6月15日
6,松花酿酒山水煎茶,"我想做一个很酷的人，汽水只喝一半，闹钟一响就起，走了就不回头，连告别都是两手插兜，从来不会难过流眼泪，无所谓前路只是洒脱行走。
但我还是我，一点也不酷，我会喝掉最后一滴汽水，闹钟响几次我都不起，我一直不能释怀，我的告别是丢人的死缠烂打，经常难过流泪，我，无所事事。",2018年5月19日
7,丹丹让孟孟幸福了,"真尼玛太好听了……
——来自一个没有文采的网友的评论",2018年7月2日
8,夜雨声烦16,听到这首歌的女孩子品味不是一般好,2022年3月16日
9,夜雨声烦16,“我不行 所以祝各位得偿所愿”,2021年12月31日
10,莘栀xx,别人玩手机是真的在和人聊天，而我玩手机只是希望有人会找我。这么想来真的好孤独,2018年4月15日
11,XII-III,"接下来是考试 放假 新年 高考
加油啊",2021年11月21日
12,YANYAN9454,警厅JK，西街朴智旻，金家金泰亨，江东闵玧其，金三小姐金绮丽，希望你们在平行世界里热烈的活着,2021年12月27日
13,哇塞男孩儿_,希望听到这首歌的人们都会变得超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级超级幸福的奥！,2022年5月2日
14,林黛玉拳打镇关西,那你是在为难我光头强,2018年8月1日
15,Lovewant_G,明年 我不要为爱流泪了,2021年12月22日
16,迷迷瞪瞪的怎么,音乐搭子？🫨,2023年06月25日 20:25
17,泽川朋也,加油啊,2023年06月25日 20:13
18,草莓味的牛奶_zz,谢谢,2023年06月25日 20:07
19,-仙風道骨_,加油宝贝,2023年06月25日 19:43
20,Jm-3182,明天中考 加油！,2023年06月25日 19:23
21,浅风qian,加油！要继续对未来有信心,2023年06月25日 19:06
22,向它吗的阳而生,[多多大笑]读书不是唯一的出路加油噢！！！,2023年06月25日 18:02
23,异世界转生成为辛弃疾,"2023年高考结束了，出分了:444
我知道过了本科线，但这与我预期差远了心里好难过😔。当时好迷茫好无助，希望有一束光照进我的生活",2023年06月25日 18:01
24,齾龘而灪滃,我自渡,2023年06月25日 17:46
25,妮妮_QT4Z,cpdd,2023年06月25日 17:27
26,温柔温柔宝贝,这首歌也想分享给你,2023年06月25日 17:07
27,ki琳77,人不会什么都没有也不会什么都有 知足常乐,2023年06月25日 16:17
28,山城信介,矛盾的 挣扎的 19岁,2023年06月25日 15:53
29,1-AMx,好听哎,2023年06月25日 15:42
30,手排琴结果Screamo,[多多比耶][多多比耶][多多比耶][多多比耶][多多比耶],2023年06月25日 15:19
31,鲍尔关,1,2023年06月25日 14:05
32,七秒钟凋零_,我又该以什么样的姿态在你的面前？,2023年06月25日 13:51
33,只爱山川云海,生活从巅峰跌到了低谷 怎么办,2023年06月25日 11:06
34,JS25_1122,那年 你就是我的靠山,2023年06月25日 08:52
35,小王睡不醒啊啊啊啊啊,一切都烂透了 永远是在咬牙坚持,2023年06月25日 07:15
36,iTukiss,做自由的风不被束缚的鸟,2023年06月25日 03:43
37,o泡果奶土豆泥,死水一般的生活 也会有一束光照向我吧,2023年06月25日 02:48
38,o泡果奶土豆泥,不要试图说服谁谁 成年人都是只做筛选,2023年06月25日 02:43
39,o泡果奶土豆泥,我什么时候才能活出自我,2023年06月25日 02:42
40,KIKnow-,不破不立 人总是在坍塌中重建,2023年06月25日 00:51
41,愿我无风无雨年复年,高考失利 重来没有这么低过 但是我依然相信自己,2023年06月25日 00:47
42,皮卡爱追蝴蝶,靠山山倒，靠树树倒，靠自己最好。,2023年06月24日 23:56
43,陈的第七页序,心诚则灵,2023年06月24日 23:55
44,传递正能量2_包容大度气量大,"一个经常锻炼身体的人，一定能战胜肉体上的苦难。
一个有金刚萨埵意志的人，一定能战胜精神上的烦恼。 没有烦恼的时候不要惹烦恼，有烦恼时不要怕烦恼。
烦恼到，智慧跑；烦恼离，痛苦移；
没烦恼，放下好；去烦恼，境界高。",2023年06月24日 23:13
45,王叡琪,没有前奏的歌就像被他强吻,2023年06月24日 22:58
46,早日渡我,受不了了，你也会像我一样看到照片就会流眼泪吗？看到你的照片，突然觉得自己好像一只被抛弃的小狗,2023年06月24日 22:57
47,小狗得喝氵,没有前奏的歌就像被他强吻,2023年06月24日 22:54
48,2NOUN,把书读烂，困爱里都是笨蛋,2023年06月24日 22:24
49,Knayll,你喜欢一个人会给她讲道理 雨天让她打伞 雪天让她慢点 但你爱一个人会时刻护着她 雨天替她备伞 雪天接她一起走,2023年06月24日 22:04
50,许个愿禹,前奏真的很好听,2023年06月24日 21:05
51,Znni_tau,如果无法共鸣 那我选择独行,2023年06月24日 20:55
