_id,name,comment,time
1,干杯吧,爱五百，能做到他的一半就好了!,2014年10月10日
2,gamerzh,我已经是伍佰的二分之一了。,2014年11月18日
3,三茶姑娘,来来来，喝完这杯还有一杯，喝完这杯还有三杯。,2014年11月22日
4,King-YE,那年刚上班，在火车上端茶倒水，行至山海关，老伍佰沧桑的声音从海鲜市场传出来，就着鱼xing味儿，一路向北。,2014年11月4日
5,钟离翊轩,小学六年级，现在大三,2014年11月3日
6,颜九吨,KTV必点 忍受大老爷们的异样眼光 我是女孩子,2016年2月17日
7,C_lq,暴露年龄系列的歌曲,2014年11月2日
8,阿宇Yuyu,网易云音乐的每日推荐真是越来越神了.知道我喜欢老歌就算了.居然还知道我喜欢live版呢.老歌就是live有感觉.主要是老歌手实力就摆在那里.有同感呢举手,2014年12月1日
9,南端的海,这首歌真是承载了太多的记忆,2014年11月9日
10,我的征途是星辰大海,突然觉得和我的滑板鞋有异曲同工之妙,2014年12月1日
11,帐号已注销,初一的时候晚自习停电，老师提议传花点名唱歌。传到了我，当时我五音不全还腼腆，畏畏缩缩站起来唱着这首我当时听的最多也最喜欢也最擅长的歌。谁知道，开口第一句，立马变成在家里浴室洗澡个人演唱会的节奏😂😂😂。。。就像台上拿着吉他甩着头发的伍佰一样。然后我就火了。。。不说了，都大三了,2015年9月24日
12,Hi--Min--,听着听着，一种熟悉感觉油然而生，好听,2014年10月22日
13,Quan_Chi,啊~伍佰，你比四百多一百，啊~伍佰，你比六百少一百。啊~伍佰，你比五十多个零，啊~伍佰，你比五千少个零。,2015年8月28日
14,B站_可爱的土狗哥,大学时候的夏天晚上，宿舍里的四个人都热得闷，闷得什么书也不想看，虽然已是临近考试了。那个晚上，当年的兄弟们就买一箱啤酒，买很多烤串，吹牛逼。酒上了头，我就会唱这首歌，说来来来，喝完这一杯还有三杯。现在回想起来，酒还有，但是没人陪我再喝三杯了。,2016年3月14日
15,北方有执,伍佰要是有我这张脸，会比中国任何一个歌手都火,2020年5月1日
