_id,name,comment,time
1,帐号已注销,高中时候，高富帅。喜欢上一矮穷挫的女的，每次去ktv都要点这首歌唱给她听，后来她和我不再联系，那段时间酗酒打架，主要是想不通哥这么帅的人，居然不喜欢我，现在找了个漂亮的妹子，打算年底就结婚了。我想说人生充满可能，叫你当初不答应我！,2014年11月23日
2,呵呵呵星人_,高中矮穷矬（现在依旧）的我被一个男生追求，每次去ktv都点这首唱给我听（眼泪朦胧的）那时候太傲娇了，后来断了联系，听说他那段时间经常酗酒打架什么的，现在搂一漂亮妹子可能快结婚了吧，偶尔的偶尔也会想到他，想到高中做的各种荒唐事，人生真是充满了太多可能了，确定的是，你不能回去改变它了,2014年10月24日
3,勤阅兄,我男友老是提起他高中时候是高富帅帅，喜欢喜欢一个矮穷挫的女生，后来被那妹子抛弃了，他就酗酒打架。我总感觉他那不屑又随意的言语中带着一丝丝不甘与念想，虽然我们快结婚了，可我不想他只是用我来忘却她，我想让他们见面，不管最终结果如何，我都接受。,2015年8月10日
4,大月先生_,本人很屌丝，本人的女友也是明显的矮穷矬，我始终觉得我们是天设一对地设一双的般配。可是我的女友总嫌弃我是屌丝，总吹嘘着高中的时候有一位高富帅，为她在KTV唱至少还有你给她听。还为因为她学坏打架。我说媳妇，睡吧。明天超市特价鸡蛋别忘了去排队购买。,2016年3月12日
5,Nanette_向木木,高中gay蜜喜欢一高富帅。结果人家喜欢一矮矬穷妹子，每次去KTV都给妹子唱这首歌，他只能在一旁伤心。后来俩人没了联系高富帅颓废了很久，gay蜜一直陪他。好几年过去本来想告白，结果半路杀出一漂亮妹子，他们在一起了而且年底就要结婚。gay蜜选择把这份爱藏在心里，希望他们都能幸福。,2016年4月24日
6,静好1826,高中时候，女儿经常出入ktv，成绩下滑的厉害，我把她揍了一顿，她终于向我坦白，原来是一个高富帅在追求她，每次进ktv都点这首歌唱给她听，我切断了他俩之间的联系，听说那男的还为此酗酒打架什么的，不过现在已经和别人结婚了。我想说青春是美好的，但不要早恋！,2017年3月11日
7,我们甚至不曾想起伟大到飞往月球,卧槽，进来看了个连续剧,2017年4月23日
8,帐号已注销,几年前我在一家KTV当服务生的时候，总是能看到一个帅帅的男孩子和一个长得很一般的女孩子一起来。每次来都是在下午五点半的时候，我每次都带他们去2046号包间，那个男孩每次必唱这首歌。过了小半年却再没见过他们，也不知道那个男孩子现在过得怎么样。我想，如果当时我能勇敢一点就好了。,2017年2月18日
9,十七号楼的阿季,那年只有五六岁，记得每个周末的早晨八九点，父亲都会代替母亲起床做家务。那年的父亲只有三十出头，那时的父亲最爱放的碟除了凯丽·金的《回家》就是林忆莲的《至少还有你》。那时的我每每在晨光熹微中醒来，便能看见父亲年轻的身影，入耳的便是…如果全世界我也可以放弃，至少还有你，值得我去珍惜…,2015年1月6日
10,l木木彡l,评论故事出乎意料的统一,2017年3月31日
11,阿布_啊不,高中时候就是漂亮妹子。喜欢上一个高富帅，他却喜欢一个矮穷矬，每次去ktv他都要点这首歌唱给她听。于是我暗地里让这个矮穷矬不再理他，终于他们分手了。那段时间他酗酒打架我很心疼。后来我主动接近他，我们终于在一起了，打算年底结婚。我想说人生充满可能，没有拆不散的情侣，只有不努力的小三！,2016年9月23日
12,MrGabe,现在听到每一首歌都会习惯性的点开评论看看大家因为共同的歌产生的不同的回忆。当我们微笑着祝福彼此，和平分开的时候，我知道不论我走到哪里你都会默默的在心里祝福，我也是。当我们过上各自选择的生活后，作为曾经在一起的伴侣，除了祝福和祈祷，大概其他的都由那个拥有实质性名义的人代替我们做了。,2014年12月21日
13,MiroLee11,这首歌献给前头那些有故事的人，欢迎来到网易寻亲记的节目现场,2017年3月20日
14,冯公子的大铃铛,最终我还是回国了，你先结婚吧,2015年2月8日
15,大云低垂,欢迎收看大型史诗连续剧《我和矮挫穷女孩的故事》。,2017年8月22日
16,妮妮_QT4Z,cpdd,2023年06月25日 17:19
17,在热河路续写,哈哈哈,2023年06月25日 15:56
18,手排琴结果Screamo,,2023年06月25日 15:40
19,终是事事无成,再说什么鸟语服了,2023年06月25日 15:17
20,手排琴结果Screamo,,2023年06月25日 14:41
21,冰冷小宇_7,爱你马惠淇,2023年06月25日 13:26
22,睡睡懒觉_,你有想过我吗,2023年06月25日 12:19
23,小婉大王666,取消置顶后 才发现你垫底,2023年06月25日 10:23
24,Ht007_,没人会愿意捡起破碎的我,2023年06月25日 03:17
25,椿杼_7,我 菠萝吹雪 行走江湖这么多年 原本打算封心锁爱 直到遇见了你 梨花诗,2023年06月25日 02:40
26,DeeR_ww耶,zzyn照顾好自己,2023年06月25日 02:16
27,kill76-,也许这份喜欢 是一时兴起 可是我的梦里有你,2023年06月25日 01:43
28,蒸鱼oxo,还记得第1次见你那是在2022.10月左右 在2023.4.8我加上了你的QQ 喜欢你很久了 但最后我们没能拍成合照 你去了重庆 我没考上本地高中 但青春总是有遗憾的 希望下次遇见你是在一个晴天,2023年06月25日 01:42
29,Lillm_,@JxzzyTa 笑得想死 这个评论区,2023年06月25日 00:00
30,iiu7_7050,大名叫宝宝小名叫小宝你们可以叫我小名也可以直接叫我宝宝.,2023年06月24日 23:49
31,Unknown_m1ph,评论区快写篇短篇小说吧,2023年06月24日 22:14
32,林二屿,林 别不幸福,2023年06月24日 22:08
33,平方厘厘厘米,祝你幸福,2023年06月24日 20:47
34,Dear_NJH,幸福幸福 哈哈哈,2023年06月24日 20:37
35,claudiaaaaaaaaaaaaa,可是我觉得这首歌是写给妈妈的,2023年06月24日 20:18
36,有些偏激,评论区6,2023年06月24日 20:07
