_id,name,comment,time
1,法老pharaoh420,每天听一次这首歌可以消耗一千大卡,2022年10月11日
2,chenjx1n,好超前 都不好意思发朋友圈😅,2022年10月11日
3,陳婞,真的有些担心小精灵和法老的精神状态,2022年10月11日
4,W1rrrrrrrrrrrrrrrrrrrrrrrr,不是这干嘛呢，好像精灵挑逗法老，然后法老变成狗追他,2022年10月15日
5,杨秋儒-Youngchill,对不起 一首温柔的歌曲献给大家,2022年10月11日
6,伽蓝雨_122,杨和苏,2022年10月16日
7,szabei,同居一年就研究个这个玩意？,2022年10月19日
8,Lil_Youngg,小老师幻想自己是杨和苏,2022年10月11日
9,别理本觉皇,把法老的嘴快，小精灵的嘴贱，活死人的脱线表达得淋漓尽致的神作,2022年12月27日
10,邀请您共赴黄泉,活死人真的一直致力于中文喜剧说唱的发展,2022年10月12日
11,无酒精宿醉z,没有被封在健身房一个月写不出来这歌,2022年10月11日
12,毛毛虫4号,你俩最好现场能唱出这样,2022年10月23日
13,悲伤肉罐头,终于被学校广播站开除了,2022年10月30日
14,Anna_lise-,他甚至还想让所有人都听到他们的健将,2023年5月22日 23:49
15,落花_forever,大连人第一次听说大连可以和大便押韵。。。,2022年10月14日
16,kingdaio,你们在玩一种很新的东西 [狗头][狗头][狗头],2023年06月25日 20:00
17,Eason0228,好上头,2023年06月25日 19:51
18,HWAKEAI,我的健将挨着小河淌水 谁懂哇,2023年06月25日 19:47
19,贰佰呀呀呀,健将是我喜欢但是没有收藏的歌,2023年06月25日 19:47
20,Fouroneskii41,听得我连导八十万发,2023年06月25日 19:46
21,C6P2,你这孩子…怎么撒谎呢…哪是过几天发布啊…这就第二天就发了…,2023年06月25日 19:45
22,Iwishallnight,哈利波特有9？,2023年06月25日 19:41
23,还不想睡觉的咋咋,听完有种喝了盗版红牛的感觉,2023年06月25日 19:40
24,--最后一朵玫瑰--,这首歌太催泪了，我一个人躲在被子里哭了好久好久，耳机就这么循环播放着，眼泪从眼角慢慢滑至脸颊到下巴再浸湿整块枕巾，转身拭去自己干结泪痕然后孤独睡去。,2023年06月25日 19:36
25,Kerilll,临时抱佛脚，我就要临时抱佛脚,2023年06月25日 19:27
26,把我们埋在湖底,好难过，我要恨死期末周了，恨死了，老子要把这首歌天天放单曲循环，想骂人，疯掉，彻底疯掉,2023年06月25日 19:26
27,希望我能早睡早起,年轻人这么疯了吗已经？？？？？？健将健将健将健将健将！！！！！！发疯发疯发疯发疯发疯发疯发发发疯！,2023年06月25日 19:25
28,小葉爱白嫖,杨和苏跪着笑着听哈哈哈哈哈,2023年06月25日 19:23
29,雨丨潇,发了哈哈哈哈哈,2023年06月25日 19:23
30,虾鱼田,TizzyT,2023年06月25日 19:21
31,LoHoYuan,屌！,2023年06月25日 19:18
32,DLegend爱笑的肚皮,纯粹的沙雕鬼畜尴尬说唱风格,2023年06月25日 19:11
33,给我苦荞麦-_-,有被震惊到 我就是健将,2023年06月25日 19:09
34,姗姗来迟obi,跪着听,2023年06月25日 19:07
35,带土不会rap,🔥速,2023年06月25日 19:05
36,kaco__,早八心烦听一遍健将；被同事背刺烦死了听一遍健将，公交车要等十五分钟气死了听一遍健将，我的生活已经离不开健将,2023年06月25日 19:02
37,你快点死呐,健将你终于大火了健将啊啊啊啊,2023年06月25日 19:00
38,用户4891706420,健将内裤,2023年06月25日 18:57
39,脾气脾气脾气别闹,预言家哈哈哈哈哈 请移步健将plus live版,2023年06月25日 18:49
40,Alike_M_2c,这怎么说，听第一次麻了，往后听上头？,2023年06月25日 18:45
41,糕kotia,你是懂形容的笑死我了,2023年06月25日 18:44
42,尧旭东,口瓜！磁场颠佬的专属bgm口牙,2023年06月25日 18:38
43,帅气的沙雕啊,真唱了,2023年06月25日 18:38
44,boki_cq,不是难道你们的生活没有想发疯的时候吗？,2023年06月25日 18:32
45,今天少北长胖了没,健将plus版又疯了一个.....,2023年06月25日 18:32
46,条一鱼咸,哈哈哈哈哈哈哈哈看了一圈就你说得最形象,2023年06月25日 18:31
47,SoundBeats,我让你听啦？,2023年06月25日 18:29
48,抑郁有所好转,还不如雪飘进了我的眼,2023年06月25日 18:28
49,destiny初,杨和苏,2023年06月25日 18:27
50,嘿老丫,哈哈哈哈哈哈哈当我在图书馆听到这个,2023年06月25日 18:23
51,立派的人,在健身房放这首歌应该会相当炸裂,2023年06月25日 18:23
52,女儿国国王玄奘,确实像香菜 我好喜欢,2023年06月25日 18:20
53,暗夜不害怕黑天,还有我,2023年06月25日 18:11
54,莽吉柿Mangosteen,太牛了,2023年06月25日 18:07
55,皨玽泰,速发,2023年06月25日 18:04
56,1O__0,知道了谢谢,2023年06月25日 18:02
57,云村村民167972273419494,我爱你，法老,2023年06月25日 17:58
58,Qiii_Nine,健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将,2023年06月25日 17:58
59,呦呵mimimii,难听啊,2023年06月25日 17:56
60,步矢非毒,小时候奶奶总唱这首歌哄我睡觉,2023年06月25日 17:53
61,绯世_n94G,？什么勾巴,2023年06月25日 17:52
62,来吧这就是我的热爱,大什么霸？[西西疑问],2023年06月25日 17:51
63,痛仰也不赖啊,大奇葩[多多耍酷],2023年06月25日 17:46
64,黑川泽野-,就是敲人，像方言一样的，不知道怎么跟你解释，,2023年06月25日 17:46
65,1O__0,尻我是什么意思[西西疑问],2023年06月25日 17:43
66,温柔仅卡殿,快发 别逼我求你,2023年06月25日 17:40
67,live_WYC,哈哈哈哈哈哈哈哈哈笑死我了,2023年06月25日 17:37
68,卡斯沃乐,6,2023年06月25日 17:36
69,南山知我逸,很适合中国大学生的期末状态🌹,2023年06月25日 17:34
70,懒大王_UTnt,很符合现在的精神状态,2023年06月25日 17:32
71,壹叶i-现充版,哈哈哈哈哈哈哈哈哈,2023年06月25日 17:32
72,早安从来吃不饱,都给干到热搜第一了[多多捂脸],2023年06月25日 17:32
73,为师就不能多吃一口么,大什么霸？,2023年06月25日 17:26
74,起名鬼才kkk,plus版！！！,2023年06月25日 17:25
75,H老幺-,说唱圈法小夫妇,2023年06月25日 17:23
76,HERATunderBLADE,听一遍，啥玩意？！听两遍，健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将！！！！,2023年06月25日 17:21
77,樂想睡觉,牛逼，又活一天！,2023年06月25日 17:21
78,ei-kumo,适合对完答案听🥺,2023年06月25日 17:20
79,妮妮_QT4Z,cpdd,2023年06月25日 17:17
80,干饭炫两桶,哈哈哈哈哈啊哈哈哈哈这首歌是认真的吗哈哈哈哈哈哈哈哈哈哈哈哈哈,2023年06月25日 17:17
81,森择栖息地,好怪，符合本人精神状态,2023年06月25日 17:09
82,宇宙终,很久没锻炼了，但昨晚确实游戏打了通宵过了很久很久，终于又有人和我一起玩游戏了,2023年06月25日 17:08
83,田三猫的鞋盒,健身听这个很适合！,2023年06月25日 17:05
84,Vicamlukrys,第一百遍,2023年06月25日 17:00
85,lll虾仁不眨眼lll,就喜欢这种S&B风格的歌曲,2023年06月25日 16:59
86,莲龙血,有没有类似的歌曲推荐，喜欢快嘴啊啊啊，这是什么风格,2023年06月25日 16:59
87,Tender_Preference,你的嘴也差不多,2023年06月25日 16:58
88,Tender_Preference,没人非让你听,2023年06月25日 16:58
89,Tender_Preference,你是什么玩意儿 没人让你非得听,2023年06月25日 16:57
90,_半夏清浅_,推的什么破玩意，这歌也能发出来,2023年06月25日 16:51
91,S9rr_,这首歌凭一己之力干懵了一堆同行,2023年06月25日 16:49
92,沙同学-,很难想象 这首歌是怎么创作出来的 健将健将健将健将健将健将健将,2023年06月25日 16:49
93,xjisgbenskz,实在适合期末周的大学生,2023年06月25日 16:48
94,怂了吧唧人人心,跟我发疯时的精神状态有的一拼,2023年06月25日 16:47
95,An_4oXU,哈哈哈哈哈我看到了,2023年06月25日 16:47
96,得鹿梦鱼_hf1,《大奇葩》,2023年06月25日 16:46
97,An_4oXU,看了[多多亲吻],2023年06月25日 16:45
98,冰露雨鸟,我～们～在路上～～～,2023年06月25日 16:42
99,An_4oXU,没错期末周疯了,2023年06月25日 16:42
100,狮子是个狮子,法老怎么了,2023年06月25日 16:32
101,DoubleZero-,哈哈哈哈哈哈你妈的,2023年06月25日 16:30
102,啦啦小雨520,其他歌还是有能跟得上的,2023年06月25日 16:29
103,ODIUM8,小精灵后面唱卡壳了都,2023年06月25日 16:20
104,shsbusb,哈哈哈哈,2023年06月25日 16:19
105,小抽没有梦想,终于有人欣赏这首歌了！健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将健将,2023年06月25日 16:18
106,子熹na,还有我,2023年06月25日 16:14
107,冬-0_7,对就是这种感觉！！！！,2023年06月25日 16:10
108,时间旅行者的浪漫逃亡,带上耳机，怪不得TT说那个鼓咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣,2023年06月25日 16:06
109,YOGAQI,现在可以了,2023年06月25日 16:05
110,兜兜的太阳-,难听到简直了。。。,2023年06月25日 16:04
111,打捞于楚楚,这首歌是潲水臭豆腐,2023年06月25日 15:57
112,阿雪挽歌,泰裤辣,2023年06月25日 15:56
113,独孤言_,好耶！,2023年06月25日 15:53
