_id,name,comment,time
1,Fto_Wisteria,跟女朋友唱了这首歌才有感觉在一起的,2014年11月26日
2,CrikeyLJ,喜欢你的时候想和你私奔到月球，不喜欢的时候想就把你一个人流放到月球，不让你吃饭洗澡看电视,2015年1月13日
3,荏苒之夏,看完mv，完了，爱上陈绮贞了，不要打我。,2014年12月1日
4,对半切开的奇异果,当你说《太聪明》往往《还是会寂寞》 我笑着倾听《孤独终结》后的静默,2015年3月9日
5,蛇界麻瓜,虽然但是 网易买版权的样子真帅,2023年1月3日 19:10
6,windsun_ul,今天才发现女声是陈绮贞,2015年9月26日
7,will_house,这首歌是我喜欢女生的寝室姐妹最爱唱的，那时刚好下课走在她们后面，她们没发现她们唱到“789”时，我就跟她们一起唱“我们私奔到月球”，结果都回头看我，都笑得很开心，我也很开心。那时大一.......,2015年3月22日
8,我不知道llll-,突然发现，当你说太聪明还是会寂寞这句歌词分别是陈绮贞的歌名！,2023年1月2日 19:56
9,柴柴大米饭,七年前和老公刚在一起时候的专属铃声，响起这首歌就是老公打电话来接我了，好暖的回忆,2014年12月17日
10,祈夜小妖,怎么回事？手中的火把熊熊燃烧！,2015年3月22日
11,俄斯塔荷,单单在音乐里，阿信有种古龙男主角式的迷人。,2015年9月22日
12,Zhang丶XX,音乐就是这么神奇。有的事，记忆已经模糊。但是忽然有一天，你听到了那时的一首歌，神经细胞里，那时的感觉隐隐约约，却要用力去想。曾经以为放不下的，离不开的，终有一天也能泰然面对。甚至可以坐下来一起吃顿饭，聊聊现状。不用过多话语，你好就好。,2015年9月21日
13,Melody_毛毛,春天的操场，夜跑女孩儿长发飞舞，男孩们追着足球奔跑，年轻真好！,2015年3月26日
14,蓝精灵呀,好喜欢陈绮贞的声音,2015年9月21日
15,villa薇,我最爱的女歌手 他最爱的男歌手 今天我们在一起了,2015年9月20日
16,destinyqzl,最近最喜欢的甜甜歌曲,2023年06月25日 18:25
17,妮妮_QT4Z,[西西晕了][西西晕了][西西晕了][西西晕了][西西晕了][西西晕了][西西晕了][西西晕了][西西晕了]cpdd,2023年06月25日 17:38
18,小熊作业很多,现在呢现在呢,2023年06月25日 16:47
19,小熊作业很多,这一刻 不再问为什么,2023年06月25日 16:44
20,手排琴结果Screamo,[西西疑问][西西疑问][西西疑问][西西疑问][西西疑问][西西疑问],2023年06月25日 15:31
21,Ashes_乃,旧歌重听就像是旧事重提,2023年06月25日 15:17
22,手排琴结果Screamo,,2023年06月25日 15:02
23,你提过的好地方我标在地图上,从小听到大，五月天的歌永远不过时啊，还是以前的歌好听,2023年06月25日 10:43
24,丹丹超甜_xx,小时候听的，现在觉得好甜～,2023年06月25日 02:32
25,Chocice_1984,懂的都懂，不用说不用猜~想分享的也憋不住~,2023年06月24日 22:16
26,我比我重要,听着甜甜的歌 想念离去久久的你 好痛,2023年06月24日 20:53
27,荏苒之夏,可不是吗,2023年06月24日 19:59
28,小宁心小宁心,你才是绑架我的凶手 机车后座的我吹着风 逃离了星球,2023年06月24日 18:26
29,XH78,但是生活充满了未知,2023年06月24日 17:20
30,偷灵药的兔子,谁会不爱啊,2023年06月24日 15:05
31,玩数据,我也发现了，过来找评论,2023年06月24日 14:17
32,浔盐,现在呢[多多大哭],2023年6月23日 22:34
33,阿良_fly,没有任何意义,2023年6月23日 19:35
34,阿阿阿阿啊秀,没去[多多笑哭][多多笑哭][多多笑哭],2023年6月23日 12:01
35,Guoguoa1810,8年了 你回地球了吗,2023年6月23日 01:50
36,几分之几__-,当你说太聪明还是会寂寞,2023年6月22日 22:13
37,感兴趣了_,八年前点赞的评论今天变成蓝色的小心心了,2023年6月22日 19:53
38,七七古奈,我决定一个人去月球了，这个星球的一切，全部埋心底了。,2023年6月22日 19:50
39,星兮-,祁夏璟&黎冬,2023年6月22日 19:18
40,後青春期的少女,dream一个武汉,2023年6月21日 22:52
41,含支龙,还有三十亿呢？,2023年6月21日 19:24
42,_Brus,现在呢！！,2023年6月21日 17:32
43,Never_Forget-me,真的有恋爱的感觉,2023年6月21日 17:06
44,溟夜丶,永远记得2007年的夏天，这首歌陪伴着我。,2023年6月21日 13:03
45,Agreas_Verse,我听的一直是“这星球 天天有五十亿人 在做功”,2023年6月21日 12:12
46,红的鹅豆,啊啊啊啊啊啊啊啊啊啊,2023年6月20日 16:14
47,罒lk-you,对啊对啊,2023年6月20日 15:05
48,Stone-bottle,要是一直在一起不知道等老了什么样子,2023年6月20日 13:29
49,3號電子星,是的呜呜,2023年6月20日 11:27
50,绿豆基,根本骗人！,2023年6月20日 11:25
51,想太多小姐xi,为了我的ID，也要学会这首小甜歌,2023年6月20日 08:37
52,雪影---,好特别的声音,2023年6月20日 08:06
53,怎么你又闷闷不乐,没有听到,2023年6月20日 03:34
54,来自星星的鑫,没有啊🤔️,2023年6月20日 01:06
55,猫吃鱼Yq,我也是听了一个男生喜欢听的歌然后有感觉喜欢他但是仅仅喜欢而已或者最多是好感,2023年6月19日 22:09
56,困兽兽-,第一次听这首歌还是小学，现在已经大学毕业两年了,2023年6月19日 19:52
57,3號電子星,朋友圈票务说嘉宾就是她！,2023年6月19日 17:07
58,只是夏日的悸动,你才是绑架我的凶手,2023年6月19日 13:57
59,destinyqzl,加入未来恋爱歌单,2023年6月19日 09:24
60,梦想改造家8,昨天去啦，很棒,2023年6月19日 07:35
61,绿豆基,赌一个今晚有陈老师在杭州,2023年6月19日 05:46
62,Guan-yq,我听过他听过的歌 也没有更靠近一些,2023年6月19日 03:42
63,o柴柴_,这首歌太甜了[小红花],2023年6月19日 03:40
64,荏苒之夏,在的呢，仁兄有何贵干,2023年6月19日 01:06
65,怎么你又闷闷不乐,明天绝对能听到,2023年6月18日 23:39
66,building一,希望明天在现场听到！,2023年6月18日 23:26
67,sqh千浅,“不再去猜测人和人、心和心有什么不同。”,2023年6月18日 21:37
68,-野原眠之助-,dream一下明天嘉宾陈老师！！！！,2023年6月18日 21:34
69,Yixwwwe,22号可以唱吗,2023年6月18日 21:11
70,拖拉机上的彭于晏,14 年的兄弟还在吗,2023年6月18日 19:24
71,MysticaO,[蛋仔吃瓜][蛋仔吃瓜][蛋仔吃瓜],2023年6月18日 18:53
72,小十五美丽可爱温柔的爸爸,我要去场外听演唱会啦开心,2023年6月18日 18:47
73,Sunshine711_,现在咋样了呀,2023年6月18日 10:00
74,骨瘦如柴的胖_,月亮从傍晚营业到深夜，一定是为了多收集些人间的秘密。,2023年6月18日 09:26
75,骨瘦如柴的胖_,上帝把银河揉碎，让一片化作星光一片化作月亮，剩余的全部掉进我的梦里，化作了你✨。,2023年6月18日 09:25
76,徐小个,我没票 呜呜呜,2023年6月18日 00:54
77,THEO-xixi,现在孩子几岁啦,2023年6月18日 00:44
