_id,name,comment,time
1,twynkle,男有李宗盛，女有蔡健雅。看破与遗憾，理智与情感，不舍与伤感，都在这样的词句和吟唱里。于是在这样的感情里，我们都进化成更好却更敏感更隐藏自己的人。,2015年2月4日
2,北树姑娘,「 那些能改变我们一生的道理，都不是别人教会的。」,2015年2月12日
3,EasonEchoChan,蔡健雅这首歌其实一开始是给陈奕迅写的，无奈这首歌最后被“退货”。虽然蔡健雅一心认为是给Eason唱得歌，原本没打算自己唱，但自己专辑收歌时，唱片公司认为好歌不该寂寞，建议Tanya收回来唱，才让《达尔文》重见天日，并获得金曲入围肯定，Eason也错过了一首好歌。,2016年11月6日
4,唐不哭_,我的伤痕我的疼痛成了你的计较 像是给我的爱情判了缓刑 有些灰心有些不耐 你站那么高冷不冷,2017年11月6日
5,Yy情剩,高中时候在书店听到她的歌 驻足了很久 花了当时口袋里所有的钱 买了她的专辑❤️,2015年4月17日
6,SkyByeBlue,今天是减肥的第29天 早晨起来晕倒在厕所 不怎么自己怎么醒的 起来一身伤 爬起来换了衣服 室友还在睡 躺在床上 没哭 现在听歌的时候哭了 减肥很痛苦 会好的 会瘦的 会进化成更好的人 写不下去了 很难受……,2017年5月16日
7,uu爱打呼,来这个世界不就是为了玩吗 放松点 小主角,2022年11月29日
8,-代官山-,年轻时 你发誓要将你的生命献给爱情 后来你没死 年轻替你抵了命,2016年11月25日
9,你说你的脸庞是雨水淋湿的,蔡健雅的声音就是这么舒坦,2014年12月30日
10,我是宁缺,有一个摇滚青年曾说,2016年12月22日
11,心紧贴着手紧握着没有遗憾了,一直都在努力让自己更优秀，因为我想对的人之所以还没有来到我身边，大概是自己还没有成为一个让自己满意的人。可是不知道未来还有多远。很羡慕那些从以前就在一起到现在的人，而我唯一主动喜欢的人居然从未在一起过。所以我不是很懂两个人的幸福是什么样子的。大概比棉花糖还要甜一点？,2016年10月3日
12,拖拖拖拖拉拉,我的青春也不是没伤痕,2015年2月12日
13,安安小草莓,喜欢这首歌的人感觉是个特别有品味的人,2016年10月5日
14,小叮叮joy,不要因为别人都在交卷自己就乱写答案,2022年11月3日
15,狂狂-,董卿写过一段话:“无论我们最后生疏成什么样子，曾经对你的好都是真的。就算终有一散，也别辜负相遇。希望你不后悔认识我，也是真的快乐过。如果能回到从前，我会选择不认识你，不是我后悔，是我不能面对现在的结局”,2023年2月18日 13:16
16,猪玉戒,你是你父母的替身,2023年06月25日 18:30
17,猪玉戒,向前看,2023年06月25日 18:29
18,猪玉戒,送君茉莉，愿君莫离,2023年06月25日 18:28
19,猪玉戒,向前看,2023年06月25日 18:27
20,1零心率1,原来我是可有可无的一个人啊，几句话就否定了我所有的付出,2023年06月25日 17:37
21,文慧酱777,豁然开朗,2023年06月25日 17:37
22,妮妮_QT4Z,cpdd,2023年06月25日 17:26
23,来瓶怡宝-y,@不愿透露姓名的野十八,2023年06月25日 16:37
24,泥Bang,我太迟钝了 才听出来,2023年06月25日 16:07
25,青山檐,浪迹情场的孤狼啊 你要玩玩的话能不能放过纯情小绵羊啊,2023年06月25日 16:01
26,Whiteshark_Bs,也许，我最终会停止思念你 山高路远 再也不相逢,2023年06月25日 15:50
27,手排琴结果Screamo,,2023年06月25日 15:47
28,手排琴结果Screamo,[西西疑问][西西疑问][西西疑问][西西疑问][西西疑问][西西疑问][西西疑问][西西疑问],2023年06月25日 15:18
29,庸人自扰_njl,无能为力的事情，就让他顺其自然吧,2023年06月25日 15:15
30,川弓白芷鸭-,确实这样，我已经打算去高铁站偶遇各种氛围感帅哥了哈哈哈哈哈,2023年06月25日 15:13
31,川弓白芷鸭-,嗯,2023年06月25日 15:10
32,阿姣qaq,看到他官宣女朋友的时候，我知道我应该彻底释怀了。,2023年06月25日 15:04
33,想睡饱觉-_,要开心哇小陶,2023年06月25日 15:03
34,想睡饱觉-_,睡了一个下午梦里全是他,2023年06月25日 15:02
35,是二晖同学呀,显，我真的很爱你，你是我这辈子的遗憾，但是我不想让他成为遗憾，我会努力去武汉把你追回来的。,2023年06月25日 14:09
36,_Butterflyyy,抱抱你,2023年06月25日 13:46
37,8916-CH,明知不可为而为之是我对你最大的诚意,2023年06月25日 13:07
38,_睡个好觉叭,拥有过就好了 没必要追求个结果,2023年06月25日 13:03
39,DejaVu错乱时空,考试必备曲,2023年06月25日 12:42
40,北海道的居酒屋,我把一个男生弄丢了。每天会说早安晚安，分享日常。依赖感真的很毒，心像缺了一个洞。他很喜欢这首歌，我已经学会了，他却离开了。,2023年06月25日 12:27
41,烦啊啊啊Aa,确定放下的事就要把它放下的干干净净.,2023年06月25日 12:19
42,红鼻先森,歌词拉,2023年06月25日 11:20
43,筱筱丶蕊心,加油 陌生人,2023年06月25日 11:09
44,BLHT-HM,高考失利了，准备复读了,2023年06月25日 11:07
45,peri77,好，谢谢你开始游戏人生了,2023年06月25日 10:24
46,皮丘1,拥有过就好了 没必要追求个结果,2023年06月25日 10:10
47,10号冯,前人栽树后人乘凉==让对方进化成更好的人？,2023年06月25日 09:50
