_id,name,comment,time
1,成都市帅DP龙猪,带大家感受一下90年代的如痴如醉,2023年06月24日 00:23
2,永彬RyanB,那一刻 我陷进去了,2023年06月24日 04:27
3,Anka半朵两生花,前奏一出来就觉得炸裂了,2023年06月25日 17:45
4,就是不取名字你打我啊,我都还没从翠花出来啊,2023年06月25日 17:35
5,妮妮_QT4Z,cpdd,2023年06月25日 17:29
6,手排琴结果Screamo,,2023年06月25日 15:21
7,手排琴结果Screamo,,2023年06月25日 14:52
8,srylo,两只熬夜小猪猪,2023年06月25日 14:28
9,太陽宝邸,前奏响起的时候不自觉笑了出来,2023年06月25日 13:24
10,Cuzzy_w,太酷啦😎,2023年06月25日 12:58
11,我是你夏爸爸啊,爱了爱了 上头,2023年06月25日 12:53
12,阿飞阿甘去天堂电影院2046号看海,把我得花衬衫和大腿牛仔裤拿来，让老夫舞一曲哈哈哈哈,2023年06月25日 12:47
13,叶秘不眨眼,🤣🤣穿越了,2023年06月25日 12:15
14,一颗陈皮糖啊,开头就直接爱上,2023年06月25日 11:35
15,可爱的鲸鱼1,❤️,2023年06月25日 10:56
16,Witzwong,可,2023年06月25日 10:42
17,三餐k,永彬真棒啊,2023年06月25日 10:32
18,daisy911,,2023年06月25日 10:27
19,stoppppp_,哈哈哈哈哈哈我想切歌来着 真的笑死[多多笑哭][多多笑哭],2023年06月25日 10:26
20,xibu1,第一秒我就想哪来的土歌,2023年06月25日 10:10
21,松江茉夏,哇哦 彬哥新歌,2023年06月25日 09:37
22,我是脸盲不是瞎,小时候听完这首就和班花表白了,2023年06月25日 09:13
23,haterainydays_厌雨,开头复古风太强烈了,2023年06月25日 08:00
24,匡山R,甚至是用这首歌跳,2023年06月25日 07:11
25,糯米小雯子,复古复古耶耶耶,2023年06月25日 06:53
26,靶心-挂在嘴角,成都市帅[多多耍酷][多多耍酷][多多耍酷][多多耍酷],2023年06月25日 05:31
27,玄情坊主,这封面认真的吗,2023年06月25日 05:14
28,玄情坊主,永彬哥这开头认真的吗,2023年06月25日 05:13
29,roaming罗子豪,私人FM今天使我们相遇,2023年06月25日 03:46
30,周小奇-Piggy,哇 才发就给我推了嘛 爱了爱了,2023年06月25日 03:09
31,小咪好运连连,我直接就是爱上了🧢🩶💙,2023年06月25日 02:36
32,Syas7,求一个更新 大家想看[蛋仔喜欢],2023年06月25日 02:27
33,Syas7,复古的嘞 开头就沦陷了,2023年06月25日 02:24
34,YOOSU超可爱,爱,2023年06月25日 01:24
35,Souful-Rapper,[火钳刘明][火钳刘明][火钳刘明],2023年06月25日 01:03
36,Koi-7柚,别人14岁为国争光，你14岁无视风险继续安装,2023年06月24日 23:54
37,桃花源水墨,好听耶,2023年06月24日 23:53
38,--前尘隔海,太有内味儿了,2023年06月24日 23:37
39,Captoi,好怪哦，我好喜欢。。。,2023年06月24日 23:13
40,匡山R,等一个广场舞video,2023年06月24日 23:02
41,皮卡丘不憨憨,哈哈哈哈哈哈哈哈哈哈哈,2023年06月24日 22:33
42,星海_zky,居然日推了新歌,2023年06月24日 22:19
43,梅子乐高,突然发现 永彬好久没出歌了 今天一看就出了 好巧,2023年06月24日 22:18
44,Blue丶LSW,十笔的字,2023年06月24日 21:13
45,皮皮萱儿,好听 爱听,2023年06月24日 21:03
46,宿羽不是鱼,首页通知书，第一波，太幸运了,2023年06月24日 20:39
47,帅气老苏,我猜是“爱”,2023年06月24日 20:33
48,Victor亮,再合作,2023年06月24日 20:27
49,暧洲信,真心可以的这歌,2023年06月24日 20:24
50,唯有相思最难忘,爱，十笔的字，写不明白，因为我也不清楚自己多爱你,2023年06月24日 20:21
51,罗帆生,这是复古流行,2023年06月24日 20:11
52,xxx玲啊,十笔的字，我们可以说很多次,2023年06月24日 19:53
53,下雨寫立可白,在纠结7月9号去不去，没去过他的现场,2023年06月24日 19:43
54,冰岛不冷-,啊啊啊！前奏我以为是闽南哪个姐姐又出来跳舞了,2023年06月24日 19:38
55,18號收信人_sj,爱,2023年06月24日 19:05
56,生如芥子藏须弥,昨天刚看了JJ发的BB机的MV，这是新潮流嘛[头秃],2023年06月24日 18:47
57,275-_,听了开头差点错过，哈哈哈哈,2023年06月24日 18:47
58,275-_,几个小时了，掉厕所了？,2023年06月24日 18:46
59,山东王嘉尔,梦幻联动啊,2023年06月24日 18:42
60,TUZ狐狸,我奶说她年轻时候听过,2023年06月24日 18:41
61,Lil_jiu,有味🥰,2023年06月24日 18:27
62,Wanzzzli_,夜上海哈哈哈哈哈哈,2023年06月24日 18:12
63,Reiiing,这俩人的歌我无脑点爱心就行了,2023年06月24日 17:44
64,罐装GgZz,你掉里边儿了？？？,2023年06月24日 17:38
65,我太难辣_,十笔的字是爱吧🤔,2023年06月24日 17:20
66,_-vers-_,没带纸嘛,2023年06月24日 17:15
67,豕几立又,啊 hiahiahia 开头就蚌埠住了😍,2023年06月24日 17:08
68,灌火FillFire,看成了十字的笔,2023年06月24日 16:52
69,Jai佳i,你是掉厕所里了？？？,2023年06月24日 16:40
70,今天开始早睡99,十四分钟了，上完了吗,2023年06月24日 16:11
71,木次木,所以，，，，，是什么瓜🌝🌝🌝🌝,2023年06月24日 16:06
72,查地图看看白头该怎么走,等我上个厕所回来给你们爆一个大瓜，震惊三观那种!,2023年06月24日 15:56
73,阿鸣_--,我小时候，奶奶总唱这首歌哄我睡觉,2023年06月24日 15:48
74,AKA烟灰,不一样的猪,2023年06月24日 15:33
75,这里住着月亮,还真是[多多大笑][多多大笑],2023年06月24日 15:20
76,夏日限定-hl,哥是不是晚上八点就睡觉,2023年06月24日 15:18
77,葡萄酱酱啊,好港风,2023年06月24日 14:33
78,葡萄酱酱啊,好ging 好有味,2023年06月24日 14:32
79,47TT-,这次好不同风格的歌曲啊 但是我好爱,2023年06月24日 14:18
80,T-Rex_L_T-Egg,十笔的字是爱吧，我还认真的数了一下笔画,2023年06月24日 13:26
81,Fake_Love愛,在村里大街上蹦迪，我是整个村最靓的仔,2023年06月24日 13:08
82,来自卢卡的魔力,就好像你已经习惯了用各种软件听音乐，但是突然有人给你寄来了一个随身听和磁带。你按下按键，仿佛回到那个不太遥远的时代。,2023年06月24日 12:56
83,yuwansu,我的彬哥 起了个早,2023年06月24日 12:56
84,Koos活力版,10笔的字，为何难懂？,2023年06月24日 12:37
85,nancyxm_,四点半跳广场舞哈哈哈哈哈符合哥的作息哈哈哈哈,2023年06月24日 12:36
86,Murphycity,腋毛到此一游。p舅和彬子哥又合作咯！,2023年06月24日 12:35
87,无事乱摸猪,被封面吸引进来的，喜欢这种90年代的调调[狗头],2023年06月24日 12:31
88,仅此开始,Oh my darling 这句彬哥唱的我沉沦了,2023年06月24日 12:30
89,仅此开始,我上头了,2023年06月24日 12:30
90,仅此开始,艾玛彬哥,2023年06月24日 12:29
91,SELUZDL,10笔的字其实不难懂 只是不想懂,2023年06月24日 12:21
92,FANG17_,是符合这首歌的广场舞吗,2023年06月24日 12:15
93,suidb,[多多耍酷][多多耍酷][多多耍酷],2023年06月24日 12:14
94,永彬RyanB,早起去跳舞,2023年06月24日 12:12
95,永彬RyanB,早上起床要去跳早广场舞,2023年06月24日 12:12
96,FANG17_,哈哈哈哈哈哈哈封面带红色帽子的不会是你吧？,2023年06月24日 12:05
97,FANG17_,大哥 您这个点是起来健身了嘛？,2023年06月24日 12:04
98,校草旺博士,这个年代，我腰杆上撇至少2个逼逼机，中文，数字各一个。 走到公用电话，总是会很不得了的 说一句,2023年06月24日 11:57
99,Lggsuep,独属于自己的九零年代,2023年06月24日 11:36
100,若晴同學-,双厨狂喜,2023年06月24日 11:35
101,若晴同學-,[西西奸笑],2023年06月24日 11:35
102,江文载,哥你不睡觉的吗,2023年06月24日 11:30
103,AL-FOUR牡丹计划,来晚啦来晚了,2023年06月24日 11:16
104,12138-X,,2023年06月24日 11:05
105,12138-X,来晚了,2023年06月24日 11:05
106,脑动匕,哈哈哈哈,2023年06月24日 10:59
107,脑动匕,打开一皱眉（今年2023？,2023年06月24日 10:58
108,江舟渔晚,来了,2023年06月24日 10:53
109,132730,112打卡,2023年06月24日 10:48
110,我就是日代千鹤,来了,2023年06月24日 10:45
111,晓丰哥哥,永彬666,2023年06月24日 10:36
112,YzquA0,家里人问我这歌叫啥,2023年06月24日 10:29
113,书苑SKY,这新歌有点老呀,2023年06月24日 10:18
114,你的戈尔韦女孩z,怪上头,2023年06月24日 10:16
115,STARWAYE,是因为他不会普通发,2023年06月24日 10:06
116,STARWAYE,陷入90年代的尘世,2023年06月24日 10:05
117,7不要再长胖啦,我滴哥 四点半干啥呢,2023年06月24日 10:05
118,ever_9,越听越上瘾的那种,2023年06月24日 10:00
119,又一年又三年--,好喜欢这个调调,2023年06月24日 09:59
120,Llow咖,好像一首老歌，想不起来了,2023年06月24日 09:50
121,夏花秋叶-Jaylen,太酷了！,2023年06月24日 09:49
122,夏花秋叶-Jaylen,回到20世纪！,2023年06月24日 09:49
123,再见芬达_x,十笔是爱吗！！！,2023年06月24日 09:29
124,云村村民161433145579558,点进来还以为进了什么老年迪斯科,2023年06月24日 09:28
125,Lambert俞,80年代啊哈哈,2023年06月24日 09:27
126,LIAR-ZA,来了来了,2023年06月24日 09:26
127,AOP锤子,才出的歌，日推就给我送过来了,2023年06月24日 09:22
128,嘿仔RyanZ,哇哦好有感觉,2023年06月24日 09:22
129,被杀的兔,感觉进了90年的理发店,2023年06月24日 09:18
130,Yolo亦虫,DP龙猪 姐来也,2023年06月24日 09:17
131,_像个什么东西,莎莎起来~,2023年06月24日 09:16
132,将鸽烂就_倾熠7,酷,2023年06月24日 09:09
133,痛苦不已,来咯来咯,2023年06月24日 09:09
134,宇桑乱听,哦吼吼,2023年06月24日 09:05
135,伤存没烦恼,广州见,2023年06月24日 09:04
136,凶口岁大食,好好好,2023年06月24日 08:58
137,伢-雅,新歌新歌,2023年06月24日 08:55
138,喷漆泡泡枪,怎么人这么少了，凉了？,2023年06月24日 08:52
139,橐橐PiTFaLl,好酷,2023年06月24日 08:51
140,少女思考中,猴听,2023年06月24日 08:36
141,江苏深情代表,哇趣 这是我欣赏不来的,2023年06月24日 08:18
142,江苏深情代表,帅的,2023年06月24日 08:18
143,去太空放牛,欢迎来到80年代迪厅，让我们一起摇起来,2023年06月24日 08:15
144,星辰都许你,永彬唱什么歌都好听[多多可怜],2023年06月24日 08:08
145,孔鱼仔仔,时隔三个月终于再一次听到啦,2023年06月24日 08:07
146,愿故里有长安,十笔的字，全世界都可以是你的，但你只能是我的,2023年06月24日 08:07
147,阿震Jacky,穿越了,2023年06月24日 07:44
148,阿震Jacky,Cool,2023年06月24日 07:44
149,星野弋_,终于等到[多多大哭],2023年06月24日 07:41
150,温柔不过秋,所噶,2023年06月24日 07:18
151,郁言家1,起猛了 穿越了,2023年06月24日 06:58
152,雨晴_UEqe,也算赶上了！,2023年06月24日 06:46
153,shadowYYQX,睡不着的惊喜,2023年06月24日 05:07
154,猪头辣哥123,日推的福音,2023年06月24日 04:36
155,永彬RyanB,那一刻 我陷进去了,2023年06月24日 04:27
156,初遇217,这是什么风格,2023年06月24日 04:25
157,Miss_Potato_,莫名其妙的感觉这首歌好魔性[多多捂脸],2023年06月24日 03:27
